,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
0,Sandro Mamukelashvili,SAS,A,DAL,04/09/2023,W,32,130.3,96.0,34.3,14.8,2.0,15.4,7.9,18.6,13.6,7.7,58.8,58.6,25.6,115.23,14.4
1,DeAndre Jordan,DEN,H,SAC,04/09/2023,W,27,113.2,111.5,1.7,10.5,0.67,22.2,12.5,17.9,15.4,33.3,66.7,77.3,11.3,94.09,8.3
2,Jordan McLaughlin,MIN,H,NOP,04/09/2023,W,18,123.5,111.4,12.1,35.7,0.0,71.4,0.0,10.5,5.7,0.0,150.0,133.0,5.3,94.36,18.9
3,Thanasis Antetokounmpo,MIL,A,TOR,04/09/2023,L,28,106.8,114.0,-7.3,18.8,0.0,20.0,8.0,10.0,9.1,0.0,50.0,60.8,18.5,100.44,10.8
4,Mac McClung,PHI,A,BKN,04/09/2023,W,33,130.1,93.0,37.2,31.0,9.0,32.1,9.1,15.4,12.5,3.6,55.9,54.6,22.9,103.94,15.1
5,Terry Taylor,CHI,H,DET,04/09/2023,W,15,124.2,61.8,62.5,0.0,0.0,0.0,11.8,10.5,11.1,0.0,66.7,64.4,10.8,106.84,10.8
6,Cody Zeller,MIA,H,ORL,04/09/2023,W,12,116.0,104.0,12.0,22.2,0.0,33.3,9.1,25.0,17.4,0.0,100.0,79.8,14.8,100.0,14.0
7,Luke Kornet,BOS,H,ATL,04/09/2023,W,33,109.2,114.1,-4.8,28.6,6.0,33.3,2.9,16.2,9.9,5.6,50.0,55.1,16.0,94.82,9.5
8,Ziaire Williams,MEM,A,OKC,04/09/2023,L,33,93.0,107.4,-14.4,45.0,9.0,29.0,2.4,8.8,5.3,3.2,55.3,57.8,27.2,102.17,18.1
9,Mason Plumlee,LAC,A,PHX,04/09/2023,W,22,131.9,106.4,25.5,13.6,0.0,30.0,11.1,4.3,8.0,0.0,66.7,65.4,11.7,101.2,10.3
10,Rudy Gobert,MIN,H,NOP,04/09/2023,W,13,67.9,113.8,-45.9,0.0,0.0,0.0,0.0,20.0,9.4,0.0,100.0,100.0,3.2,104.69,11.2
11,Saddiq Bey,ATL,A,BOS,04/09/2023,L,15,135.3,121.2,14.1,21.4,0.0,27.3,11.8,12.5,12.1,0.0,56.3,56.3,20.0,107.2,16.7
12,A.J. Lawson,DAL,H,SAS,04/09/2023,L,23,96.4,120.0,-23.6,6.3,0.0,8.3,3.3,14.8,8.8,0.0,50.0,44.6,19.0,114.53,4.5
13,Lindell Wigginton,MIL,A,TOR,04/09/2023,L,27,103.5,119.0,-15.5,6.7,0.2,5.9,0.0,3.6,1.9,29.4,75.0,79.9,25.4,100.88,7.0
14,Anthony Lamb,GSW,A,POR,04/09/2023,W,11,154.2,104.0,50.2,25.0,0.0,60.0,0.0,27.3,15.0,0.0,100.0,100.0,7.1,110.08,13.4
15,Chimezie Metu,SAC,A,DEN,04/09/2023,L,12,77.3,90.9,-13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,67.8,29.2,89.11,29.8
16,Christian Braun,DEN,H,SAC,04/09/2023,W,23,102.2,120.0,-17.8,0.0,0.0,0.0,8.7,0.0,4.3,16.7,44.4,50.6,22.2,95.72,3.6
17,Trey Murphy III,NOP,A,MIN,04/09/2023,L,40,100.0,112.5,-12.5,0.0,0.0,0.0,0.0,9.5,4.7,7.1,65.0,74.0,14.3,105.98,10.7
18,Lester Quinones,GSW,A,POR,04/09/2023,W,11,154.2,104.0,50.2,8.3,1.0,16.7,11.1,0.0,5.0,16.7,150.0,119.7,17.9,110.08,15.0
19,Markelle Fultz,ORL,A,MIA,04/09/2023,L,11,116.0,96.0,20.0,33.3,0.0,25.0,0.0,7.1,3.8,0.0,58.3,58.3,21.4,107.46,12.3
20,Payton Pritchard,BOS,H,ATL,04/09/2023,W,46,125.5,113.8,11.7,34.4,1.57,28.2,2.2,25.0,14.4,17.9,69.0,70.0,26.2,98.34,15.3
21,Wenyen Gabriel,LAL,H,UTA,04/09/2023,W,16,121.6,107.9,13.7,7.1,1.0,20.0,0.0,19.0,10.5,20.0,66.7,66.7,10.0,110.8,6.7
22,Wendell Moore Jr.,MIN,H,NOP,04/09/2023,W,0,200.0,0.0,200.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,50.0,685.71,100.0
23,Trendon Watford,POR,H,GSW,04/09/2023,L,20,88.5,121.6,-33.1,30.8,1.33,23.5,0.0,26.7,9.8,17.6,56.3,56.4,24.1,125.91,8.1
24,Killian Hayes,DET,A,CHI,04/09/2023,L,39,85.4,92.5,-7.1,38.9,1.4,21.9,4.8,12.5,8.9,15.6,52.8,60.4,25.8,99.02,19.8
25,Bam Adebayo,MIA,H,ORL,04/09/2023,W,8,100.0,94.1,5.9,16.7,0.0,25.0,22.2,8.3,14.3,0.0,66.7,66.7,15.8,103.07,20.3
26,Udoka Azubuike,UTA,A,LAL,04/09/2023,L,27,96.7,132.2,-35.5,5.0,0.0,14.3,7.1,13.8,10.5,0.0,100.0,93.2,9.5,107.64,10.8
27,Dean Wade,CLE,H,CHA,04/09/2023,L,24,87.8,100.0,-12.2,8.3,1.0,12.5,0.0,13.6,6.4,12.5,75.0,75.0,12.7,97.95,14.7
28,Bones Hyland,LAC,A,PHX,04/09/2023,W,18,118.4,100.0,18.4,14.3,1.0,13.3,0.0,26.3,12.5,13.3,50.0,50.0,27.7,103.63,13.2
29,Shake Milton,PHI,A,BKN,04/09/2023,W,36,130.0,101.3,28.8,24.2,4.0,33.3,2.7,5.7,4.2,8.3,69.2,72.0,17.6,105.88,12.8
30,Torrey Craig,PHX,H,LAC,04/09/2023,L,6,75.0,100.0,-25.0,0.0,0.0,0.0,0.0,33.3,13.3,0.0,150.0,150.0,6.7,104.1,37.0
31,Jalen Suggs,ORL,A,MIA,04/09/2023,L,15,100.0,97.1,2.9,25.0,2.0,22.2,17.6,23.5,20.6,11.1,66.7,66.7,18.4,109.92,15.3
32,Jared Butler,OKC,H,MEM,04/09/2023,W,46,113.5,95.9,17.7,12.5,1.33,14.3,2.3,3.7,3.1,10.7,59.5,59.5,22.4,101.54,9.6
33,Stephen Curry,GSW,A,POR,04/09/2023,W,23,139.3,96.3,43.0,36.8,7.0,29.2,0.0,18.5,10.9,4.2,76.7,79.7,28.8,117.59,21.4
34,Mark Williams,CHA,A,CLE,04/09/2023,W,30,82.3,76.2,6.1,0.0,0.0,0.0,2.9,23.7,13.7,14.3,90.0,87.0,19.4,98.58,30.9
35,McKinley Wright IV,DAL,H,SAS,04/09/2023,L,28,91.0,114.1,-23.0,21.1,0.0,26.7,2.6,11.4,6.8,0.0,55.0,57.4,15.3,111.42,10.4
36,Chuma Okeke,ORL,A,MIA,04/09/2023,L,33,111.9,130.9,-18.9,22.7,2.5,27.8,2.6,12.5,6.3,11.1,63.6,63.6,16.5,98.48,11.0
37,Jabari Walker,POR,H,GSW,04/09/2023,L,21,79.1,146.5,-67.4,0.0,0.0,0.0,0.0,18.8,6.8,22.2,66.7,65.4,18.0,99.55,7.3
38,Jamal Cain,MIA,H,ORL,04/09/2023,W,19,146.2,112.8,33.3,8.3,0.5,9.1,0.0,22.7,15.6,18.2,114.3,108.2,23.3,101.1,21.2
39,Dalen Terry,CHI,H,DET,04/09/2023,W,15,124.2,61.8,62.5,9.1,0.0,11.1,0.0,15.8,8.3,0.0,50.0,64.4,21.6,106.84,24.5
40,Bennedict Mathurin,IND,A,NYK,04/09/2023,W,37,125.6,122.1,3.5,20.7,2.0,22.2,0.0,6.4,3.8,11.1,53.8,69.4,22.8,112.12,11.2
41,Ron Harper Jr.,TOR,H,MIL,04/09/2023,W,22,121.7,106.4,15.4,5.6,0.0,14.3,4.3,16.7,9.8,0.0,75.0,77.6,11.1,99.72,10.4
42,Chris Boucher,TOR,H,MIL,04/09/2023,W,20,120.9,102.4,18.5,5.6,0.5,12.5,5.9,22.2,14.3,25.0,80.0,85.0,14.9,103.9,11.9
43,Caleb Martin,MIA,H,ORL,04/09/2023,W,10,113.6,104.5,9.1,11.1,1.0,25.0,0.0,7.1,4.3,25.0,50.0,50.0,13.0,105.95,8.6
44,JaMychal Green,GSW,A,POR,04/09/2023,W,12,119.2,75.0,44.2,9.1,0.0,33.3,0.0,5.9,3.8,0.0,50.0,50.0,7.4,108.3,4.9
