,Name,Mins,Points,DEFRTG
13536,AJ Green,19,10,112.2
13524,Aaron Gordon,37,18,103.8
13517,Al Horford,30,8,116.2
13498,Alex Len,1,0,0.0
13519,Anthony Gill,3,2,85.7
13510,Bobby Portis,30,19,113.8
13483,Bones Hyland,19,17,119.4
13500,Brook Lopez,24,8,113.2
13544,Bruce Brown,30,21,107.5
13482,Chimezie Metu,1,2,0.0
13486,Christian Braun,25,2,110.0
13505,Corey Kispert,30,12,92.4
13532,Daniel Gafford,28,17,91.7
13545,David Roddy,15,5,83.8
13546,Davion Mitchell,15,2,131.4
13528,Davon Reed,2,0,100.0
13526,De'Aaron Fox,36,19,115.8
13539,Delon Wright,19,7,90.0
13538,Deni Avdija,29,11,82.8
13509,Derrick White,23,13,136.7
13513,Dillon Brooks,36,15,115.3
13501,Domantas Sabonis,33,18,115.2
13493,Grant Williams,28,9,120.3
13529,Grayson Allen,26,13,105.3
13491,Harrison Barnes,29,16,117.7
13522,Ish Smith,2,0,100.0
13484,Ja Morant,33,35,102.9
13534,Jack White,2,0,100.0
13507,Jake LaRavia,4,0,81.8
13523,Jaren Jackson Jr.,29,14,112.3
13488,Jaylen Brown,34,30,120.5
13506,Jayson Tatum,36,25,121.0
13487,Jevon Carter,31,14,120.9
13520,Joe Ingles,17,0,105.0
13547,John Konchar,28,12,109.5
13499,Jordan Goodwin,4,2,88.9
13478,Jordan Nwora,5,4,91.7
13502,Justin Jackson,2,0,60.0
13525,KZ Okpala,4,0,50.0
13481,Keegan Murray,28,10,126.3
13550,Kennedy Chandler,14,4,112.9
13511,Kenneth Lofton Jr.,1,0,66.7
13530,Kentavious Caldwell-Pope,30,6,115.9
13541,Kevin Huerter,32,14,114.7
13514,Kristaps Porzingis,29,22,92.2
13527,Kyle Kuzma,33,10,94.4
13497,Luke Kornet,2,4,60.0
13548,Malcolm Brogdon,20,4,135.9
13479,Malik Monk,26,18,118.2
13485,MarJon Beauchamp,25,11,114.3
13477,Marcus Smart,31,4,114.5
13531,Matthew Dellavedova,1,0,0.0
13535,Michael Porter Jr.,33,19,112.7
13542,Monte Morris,25,7,92.7
13480,Nikola Jokic,32,30,110.0
13515,Noah Vonleh,2,0,60.0
13496,Pat Connaughton,29,10,115.6
13495,Payton Pritchard,2,1,60.0
13504,Richaun Holmes,14,2,131.3
13533,Robert Williams III,19,8,112.5
13521,Rui Hachimura,32,26,89.9
13490,Sam Hauser,11,5,100.0
13516,Sandro Mamukelashvili,13,2,110.3
