,Date,Team,Location,Opponent,Result
1,04/09/2023,DEN,H,SAC,W
2,04/09/2023,MIN,H,NOP,W
5,04/09/2023,CHI,H,DET,W
6,04/09/2023,MIA,H,ORL,W
7,04/09/2023,BOS,H,ATL,W
12,04/09/2023,DAL,H,SAS,L
21,04/09/2023,LAL,H,UTA,W
23,04/09/2023,POR,H,GSW,L
27,04/09/2023,CLE,H,CHA,L
30,04/09/2023,PHX,H,LAC,L
32,04/09/2023,OKC,H,MEM,W
41,04/09/2023,TOR,H,MIL,W
54,04/09/2023,NYK,H,IND,L
65,04/09/2023,BKN,H,PHI,L
102,04/09/2023,WAS,H,HOU,L
310,04/08/2023,SAS,H,MIN,L
313,04/08/2023,LAC,H,POR,W
319,04/08/2023,UTA,H,DEN,W
373,04/07/2023,NOP,H,NYK,W
374,04/07/2023,SAC,H,GSW,L
375,04/07/2023,LAL,H,PHX,W
378,04/07/2023,BOS,H,TOR,W
381,04/07/2023,DAL,H,CHI,L
383,04/07/2023,IND,H,DET,L
385,04/07/2023,CHA,H,HOU,L
402,04/07/2023,BKN,H,ORL,W
407,04/07/2023,ATL,H,PHI,L
413,04/07/2023,WAS,H,MIA,W
453,04/07/2023,MIL,H,MEM,L
610,04/06/2023,SAS,H,POR,W
611,04/06/2023,PHX,H,DEN,W
616,04/06/2023,ORL,H,CLE,L
617,04/06/2023,UTA,H,OKC,L
626,04/06/2023,PHI,H,MIA,L
720,04/05/2023,ATL,H,WAS,W
726,04/05/2023,DAL,H,SAC,W
733,04/05/2023,MIL,H,CHI,W
734,04/05/2023,LAC,H,LAL,W
742,04/05/2023,DET,H,BKN,L
745,04/05/2023,BOS,H,TOR,W
754,04/05/2023,IND,H,NYK,L
764,04/05/2023,NOP,H,MEM,W
882,04/04/2023,NOP,H,SAC,L
883,04/04/2023,PHX,H,SAS,W
887,04/04/2023,WAS,H,MIL,L
889,04/04/2023,GSW,H,OKC,W
890,04/04/2023,BKN,H,MIN,L
893,04/04/2023,CHA,H,TOR,L
896,04/04/2023,CHI,H,ATL,L
903,04/04/2023,DET,H,MIA,L
923,04/04/2023,HOU,H,DEN,W
927,04/04/2023,ORL,H,CLE,L
929,04/04/2023,UTA,H,LAL,L
944,04/04/2023,PHI,H,BOS,W
961,04/04/2023,MEM,H,POR,W
1160,04/02/2023,CLE,H,IND,W
1162,04/02/2023,OKC,H,PHX,L
1163,04/02/2023,MIN,H,POR,L
1164,04/02/2023,CHI,H,MEM,W
1168,04/02/2023,CHA,H,TOR,L
1169,04/02/2023,ATL,H,DAL,W
1174,04/02/2023,SAC,H,SAS,L
1176,04/02/2023,MIL,H,PHI,W
1177,04/02/2023,NYK,H,WAS,W
1181,04/02/2023,HOU,H,LAL,L
1183,04/02/2023,BKN,H,UTA,W
1194,04/02/2023,DEN,H,GSW,W
1209,04/02/2023,ORL,H,DET,W
1443,04/01/2023,MIA,H,DAL,W
1446,04/01/2023,NOP,H,LAC,W
1482,03/31/2023,IND,H,OKC,W
1485,03/31/2023,PHX,H,DEN,W
1487,03/31/2023,CLE,H,NYK,L
1491,03/31/2023,POR,H,SAC,L
1493,03/31/2023,HOU,H,DET,W
1496,03/31/2023,MIN,H,LAL,L
1497,03/31/2023,CHA,H,CHI,L
1504,03/31/2023,GSW,H,SAS,W
1505,03/31/2023,PHI,H,TOR,W
1509,03/31/2023,BKN,H,ATL,W
1513,03/31/2023,BOS,H,UTA,W
1514,03/31/2023,MEM,H,LAC,W
1520,03/31/2023,WAS,H,ORL,L
1755,03/30/2023,DEN,H,NOP,L
1758,03/30/2023,MIL,H,BOS,L
1803,03/29/2023,OKC,H,DET,W
1804,03/29/2023,CHI,H,LAL,L
1806,03/29/2023,PHI,H,DAL,W
1808,03/29/2023,PHX,H,MIN,W
1812,03/29/2023,SAS,H,UTA,L
