,Name,S_Mins,S_GP,S_PPM,S_NETRTG,SIM
0,Paul George,0.8661209766925637,0.75,0.848028940084663,0.9553519229459644,0.8667613453896215
1,Kevin Love,0.8596330874192073,0.875,0.8848331994453738,0.8404304411299806,0.8638379226251529
2,LeBron James,0.8328246392896781,0.75,1.0,0.7498287933444696,0.8425885387498377
3,Klay Thompson,0.8988052490696612,0.875,0.6939663441043566,0.7713173895085632,0.8023797668466518
4,Kevin Durant,0.9508482638338349,0.5,0.9649182730524644,0.6669639941973287,0.8013599978182765
5,Blake Griffin,0.8831363844094795,0.875,0.7379004403764788,0.72048141005947,0.7960975753653109
6,Kevin Martin,0.8161764705882353,0.75,0.8588670301809889,0.7133793088618469,0.7885276820139814
7,Dirk Nowitzki,0.7323235620552326,0.875,0.8200990437158471,0.7307520416672836,0.7798586102036777
8,LaMarcus Aldridge,0.8952552719200886,0.75,0.7550924085850557,0.6871541769565652,0.7743546836601758
9,Monta Ellis,0.8890122086570476,0.875,0.7412089653246252,0.5902643946881145,0.7624101499464241
10,Carmelo Anthony,1.0,0.625,0.8601358331471969,0.4910488251838712,0.7575380632354807
11,David Lee,0.7577854671280277,0.875,0.6351291237857075,0.8016624128970926,0.755198932727347
12,James Harden,0.9376760863997267,0.375,0.760173141891892,0.775642864313929,0.7503302991085441
13,Stephen Curry,0.82717615348026,0.5,0.773018636014063,0.7922853706152491,0.7484069778971643
14,Chandler Parsons,0.8909708167395705,0.875,0.5169622747747749,0.7176900381639271,0.7360067710937858
15,Chris Paul,0.8161764705882353,0.75,0.6729576580620118,0.7005061475660727,0.7331998768802089
16,Tony Parker,0.664816870144284,0.625,0.7399690439338018,0.8529806317883335,0.7315366885994867
17,Damian Lillard,0.8723640399556047,0.75,0.670852519900037,0.6346248207755567,0.7299158509423502
18,JJ Redick,0.5971796043611671,0.875,0.6939224380630631,0.8125432017602813,0.729889592964689
19,Dwight Howard,0.7577854671280277,0.875,0.6172979585457345,0.7208151874394331,0.727733447316506
20,John Wall,0.9139844617092119,0.75,0.5909645158403436,0.6488248651739158,0.7232170528913662
21,DeMar DeRozan,0.9400665926748055,0.625,0.7091891307397364,0.570577758378975,0.7209786524325288
22,Evan Turner,0.8909708167395705,0.875,0.7263982732732732,0.4535120900416143,0.7207702617818241
23,Anthony Davis,0.8268590455049942,0.625,0.6931565400789785,0.6687308979411318,0.7123261045811542
24,Corey Brewer,0.7989162368610041,0.875,0.46041632863566834,0.7799763616832787,0.7119826513984198
25,Wesley Matthews,0.7870421753607102,0.75,0.5826536135583098,0.7152548885728237,0.7040612719018964
26,Al Horford,0.7440752105503687,0.875,0.6341117299732166,0.6319056380195787,0.7038507676945139
27,Arron Afflalo,0.8765260821309655,0.75,0.7361521077391386,0.4709849271829641,0.703702900913104
28,Ty Lawson,0.8512763596004438,0.625,0.7361944890987642,0.5585584016170051,0.700436474671346
29,Roy Hibbert,0.6538568257491675,0.75,0.42041062461208606,0.9976003652549624,0.7004198753465134
30,Jeff Teague,0.7558268590455048,0.875,0.6426408862070627,0.5913423667102187,0.6982054811629755
31,Nikola Pekovic,0.7558268590455048,0.875,0.5176002372693549,0.7132351701705582,0.6973293308384413
32,Dwyane Wade,0.778878169555195,0.375,0.6841987535480687,0.8030923000125259,0.6926254337672281
33,Jeff Green,0.7817240103588605,1.0,0.5827598517514225,0.5184233371526898,0.6890758371281942
34,Rudy Gay,0.8401775804661487,0.625,0.6764006325744132,0.5619767233441723,0.6816561239604176
35,Luol Deng,0.8937688282860314,0.5,0.5515283913721414,0.7063653285664931,0.6813794092558654
36,Bradley Beal,0.9940237343123024,0.375,0.6188920601636119,0.6092306129613873,0.6803724167367156
37,Nicolas Batum,0.8494728079911209,0.75,0.41723415169095796,0.7130419785108284,0.6747801211303592
38,David West,0.6455327413984461,0.75,0.43299253200568993,0.8952297474020299,0.6731118141243828
39,Kemba Walker,0.8028334530260495,0.875,0.5379670535920535,0.5521987948869588,0.6712598055855755
40,Goran Dragic,0.7737556561085972,0.375,0.6348019464418548,0.7787120060299099,0.6706650410548674
41,Jamal Crawford,0.5384213618854867,0.875,0.7560904654654654,0.5897361798134622,0.668824028660762
42,DeMarcus Cousins,0.6963691136832091,0.5,0.9156265461685944,0.48537054696908666,0.6662669275651478
43,Lance Stephenson,0.8265815760266371,0.75,0.376577227806098,0.7383214280779433,0.6641286645484721
44,Chris Bosh,0.5826859045504994,0.625,0.6065080368137923,0.8164309393061352,0.6613572584532688
45,Mike Conley,0.7713651498335183,0.625,0.682998580004307,0.5442613828883336,0.6594089897087809
46,Kyrie Irving,0.809933407325194,0.75,0.7623076031807983,0.35132785767238484,0.6591433349763149
47,Eric Gordon,0.6847946725860155,0.625,0.623549778179908,0.6564395054864429,0.6499898678235754
48,Gerald Henderson,0.742116602467846,0.875,0.49700732998341307,0.5651438165271063,0.6465628567989783
49,Marcin Gortat,0.7932852386237512,0.75,0.4190759268884268,0.6658534137786394,0.6465197245692775
50,Jeremy Lin,0.6559378468368479,0.75,0.613892701295045,0.6056982447214028,0.6457721806775006
51,Zach Randolph,0.7469478357380688,0.625,0.5777861300710079,0.614862036311113,0.6429792205901195
52,Nick Young,0.49729059215251004,0.875,0.6879852973602973,0.6043393925515309,0.6424845868412409
53,Andre Iguodala,0.8941347221036453,0.375,0.34233622209165687,0.8482682558718255,0.6421274106853505
54,Manu Ginobili,0.43118756936736957,0.75,0.5111897431705901,0.918797174334362,0.6417768988461294
55,Greg Monroe,0.8016093229744727,0.75,0.49021038083538077,0.5628879851146561,0.6399769734173218
56,Jrue Holiday,0.762486126526082,0.625,0.48581996906545105,0.668362142844745,0.6365976596980973
57,Gerald Green,0.6205604883462819,0.75,0.6019059015819275,0.6113418626386878,0.6341599636311197
58,Paul Millsap,0.6975582685904549,0.75,0.5764527027027027,0.5565361169657429,0.6332522728987273
59,Serge Ibaka,0.781988267004915,0.5,0.49939110622250166,0.68963963568273,0.6311002908133242
60,Russell Westbrook,0.7860962566844918,0.125,0.8091861549887691,0.5830037290476477,0.6269146425006529
61,George Hill,0.7378980619824125,0.375,0.4223523360445754,0.867696170349088,0.6263201281980078
