,LAC,CHI,MIA,IND,LAL,ORL,SAC,POR,DET,GSW,ATL,SAS,UTA,TOR,BKN,NOP,HOU,MIL,MIN,WAS,CLE,CHA,PHI,OKC,BOS,DEN,MEM,DAL,PHX,NYK
0,8.0,8.0,9.0,9.0,11.0,9.0,9.0,8.0,7.0,10.0,8.0,11.0,8.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,7.0,9.0
1,8.0,8.0,10.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,8.0,11.0,8.0,9.0,10.0,10.0,8.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0
2,8.0,8.0,9.0,9.0,11.0,9.0,10.0,8.0,8.0,9.0,8.0,10.0,8.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
3,8.0,8.0,9.0,9.0,11.0,9.0,10.0,8.0,8.0,10.0,8.0,10.0,8.0,9.0,11.0,10.0,8.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0
4,9.0,8.0,9.0,9.0,11.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,11.0,10.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0
5,8.0,8.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,11.0,10.0,8.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
6,8.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,11.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
7,8.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
8,8.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
9,8.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
10,8.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0
11,8.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0
12,8.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0
13,8.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0
14,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0
15,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0
16,9.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0
17,9.0,8.0,9.0,8.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0
18,9.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0
19,9.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0
20,9.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0
21,8.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0
22,8.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0
23,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,8.0
24,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0
