,LAL,SAS,ORL,DAL,HOU,NOP,TOR,MEM,CHA,DEN,UTA,SAC,BKN,DET,PHI,MIL,ATL,WAS,CHI,BOS,PHX,IND,GSW,MIA,OKC,MIN,POR,NYK,LAC,CLE
0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,11.0,10.0,7.0,10.0,9.0,11.0,10.0,8.0,9.0,9.0,10.0,8.0,11.0,8.0,7.0
1,10.0,10.0,8.0,10.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,10.0,8.0,10.0,8.0,8.0
2,10.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,8.0,10.0,9.0,8.0
3,9.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,8.0,10.0,9.0,8.0
4,9.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0
5,9.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,10.0,9.0,8.0
6,9.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,10.0,8.0,8.0
7,9.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,10.0,8.0,8.0
8,9.0,9.0,8.0,10.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,8.0
9,9.0,9.0,8.0,10.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0
10,9.0,9.0,8.0,10.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0
11,8.0,9.0,8.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0
12,9.0,9.0,8.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0
13,9.0,9.0,8.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0
14,9.0,9.0,8.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0
15,9.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0
16,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0
17,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0
18,10.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0
19,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0
20,10.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0
21,10.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0
22,10.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,10.0,9.0,8.0
23,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,10.0,9.0,8.0
24,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,10.0,9.0,8.0
25,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,10.0,8.0,8.0
26,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,8.0
27,10.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0
28,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,8.0
29,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,8.0
30,10.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0
31,10.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,8.0
32,10.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0
33,10.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0
34,10.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0
