,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,AST/TO,STL,BLK,EFG%,TS%,OFFRTG,DEFRTG,NETRTG,PF,Plusminus,PIE,S_Mins,S_GP,S_PPM,S_NETRTG,SIM
0,Stephen Curry,GSW,2016,20,100.0,34.4,32.0,0.9302325581395349,10.55,20.15,52.357320099255574,5.1,11.1,45.94594594594595,5.8,6.15,94.3089430894309,0.5,4.55,5.05,5.95,3.6,1.6527777777777777,2.4,0.15,0.6501240694789082,0.7000350017500875,118.86874999999998,97.92456395348836,20.944186046511618,1.7,314,22.0546511627907,0.8255373592630502,0.9090909090909092,1.0000000000000002,0.9870791875727072,0.9328449388692858
1,Russell Westbrook,OKC,2016,19,57.89473684210527,34.578947368421055,27.473684210526315,0.7945205479452054,9.421052631578947,20.157894736842106,46.73629242819843,1.5263157894736843,5.105263157894737,29.896907216494846,7.105263157894737,8.421052631578947,84.375,2.0,5.315789473684211,7.315789473684211,9.578947368421053,5.368421052631579,1.7843137254901962,2.3684210526315788,0.3157894736842105,0.5052219321148825,0.5756506396118218,112.01869300911852,101.07142857142858,10.947264437689938,2.4210526315789473,149,20.132674772036474,0.8316274309109519,0.8181818181818181,0.8332681017612524,0.7538449973824358,0.8082161141985416
2,LeBron James,CLE,2016,18,72.22222222222221,36.44444444444444,25.555555555555557,0.7012195121951219,9.555555555555555,19.38888888888889,49.28366762177651,1.1666666666666667,4.055555555555555,28.767123287671232,5.277777777777778,7.611111111111111,69.34306569343066,1.5,6.333333333333333,7.833333333333333,6.444444444444445,3.4444444444444446,1.8709677419354838,1.2777777777777777,0.5555555555555556,0.5229226361031518,0.561962470680219,110.12073170731706,98.15609756097561,11.964634146341453,1.8888888888888888,151,18.98033536585366,0.895115432730581,0.7272727272727273,0.7186411149825783,0.7775808442167311,0.7855889074204863
3,Paul George,IND,2016,18,66.66666666666666,36.22222222222222,26.5,0.7315950920245399,8.555555555555555,19.333333333333332,44.252873563218394,3.111111111111111,7.277777777777778,42.74809160305343,6.277777777777778,7.444444444444445,84.32835820895522,1.3333333333333333,6.833333333333333,8.166666666666666,4.277777777777778,3.5555555555555554,1.203125,1.5555555555555556,0.2222222222222222,0.5229885057471264,0.5860526833103991,105.63895705521473,96.69861963190183,8.940337423312897,2.6666666666666665,127,18.98972392638037,0.8875525986580233,0.7272727272727273,0.7559596844872919,0.7070221837918849,0.7742320932975206
4,Kawhi Leonard,SAS,2016,19,78.94736842105263,34.10526315789474,21.94736842105263,0.6435185185185185,8.421052631578947,16.42105263157895,51.28205128205128,2.0526315789473686,4.105263157894737,50.0,3.0526315789473686,3.526315789473684,86.56716417910447,1.368421052631579,6.157894736842105,7.526315789473684,2.5789473684210527,1.3157894736842106,1.96,1.8421052631578947,1.2105263157894737,0.5753205128205128,0.6105774862363827,106.21851851851854,91.97191358024692,14.246604938271616,2.0526315789473686,179,18.149382716049384,0.8155066530194475,0.8181818181818181,0.6477513227513227,0.8308205944638491,0.7735185353819691
5,James Harden,HOU,2016,19,42.10526315789473,39.526315789473685,29.473684210526315,0.7456724367509987,8.31578947368421,20.894736842105264,39.79848866498741,2.5789473684210527,8.894736842105264,28.994082840236686,10.263157894736842,11.789473684210526,87.05357142857143,1.0,5.684210526315789,6.684210526315789,6.578947368421052,4.578947368421052,1.4367816091954022,1.894736842105263,0.8421052631578947,0.4596977329974811,0.5650173541044475,105.16848404255316,108.93590425531916,-3.767420212765998,2.473684210526316,-53,16.502393617021276,1.0,0.8181818181818181,0.7732547080083698,0.41054255962741715,0.742823572825294
6,Kyle Lowry,TOR,2016,20,60.0,35.6,21.0,0.5898876404494382,6.3,15.15,41.584158415841586,2.85,7.05,40.42553191489361,5.55,6.35,87.4015748031496,0.75,4.15,4.9,6.2,3.1,2.0,2.65,0.6,0.5099009900990099,0.5851538118591173,107.43806179775282,100.09550561797754,7.342556179775286,3.35,111,15.71558988764045,0.8663766632548617,0.9090909090909092,0.5818619582664526,0.6697449869687296,0.7395054376963957
7,Draymond Green,GSW,2016,20,100.0,33.55,12.7,0.37853949329359166,4.6,10.0,46.0,1.45,3.8,38.15789473684211,2.05,2.85,71.9298245614035,1.7,6.75,8.45,7.25,2.95,2.457627118644068,1.05,1.5,0.5325,0.5642438244179847,118.78777943368108,97.53129657228017,21.25648286140091,3.1,300,12.437704918032788,0.7966095189355167,0.9090909090909092,0.3222056631892698,0.9943652599827808,0.7381685563866063
8,Damian Lillard,POR,2016,20,40.0,36.6,24.45,0.6680327868852459,8.4,20.1,41.7910447761194,2.95,7.95,37.10691823899371,4.7,5.35,87.85046728971963,0.7,3.8,4.5,7.05,3.6,1.9583333333333333,1.05,0.35,0.49129353233830847,0.5444464237997685,107.60519125683064,106.23661202185792,1.3685792349727137,2.55,20,13.585519125683058,0.9004094165813716,0.9090909090909092,0.6778688524590164,0.5303685139445894,0.7369066879308188
9,Blake Griffin,LAC,2016,19,52.63157894736842,34.05263157894737,24.68421052631579,0.7248840803709428,9.789473684210526,18.473684210526315,52.991452991452995,0.21052631578947367,0.5263157894736842,40.0,4.894736842105263,6.7368421052631575,72.65625,1.894736842105263,6.368421052631579,8.263157894736842,4.842105263157895,2.3157894736842106,2.090909090909091,0.7368421052631579,0.631578947368421,0.5356125356125356,0.5757144260041245,107.83148148148148,104.94645061728397,2.8850308641975033,3.1052631578947367,45,18.375617283950618,0.8137154554759467,0.8181818181818181,0.7477147273128726,0.5657482419793529,0.7270646615604746
10,Klay Thompson,GSW,2016,19,100.0,31.157894736842106,16.526315789473685,0.5304054054054054,6.157894736842105,13.578947368421053,45.348837209302324,2.5789473684210527,6.2631578947368425,41.17647058823529,1.631578947368421,2.0,81.57894736842105,0.3684210526315789,3.1052631578947367,3.473684210526316,2.3684210526315788,1.9473684210526316,1.2162162162162162,0.5263157894736842,0.8421052631578947,0.5484496124031008,0.5714909726266744,117.15723905723905,100.44545454545455,16.7117845117845,2.210526315789474,218,8.754882154882155,0.7151995905834188,0.8181818181818181,0.5087837837837837,0.8883347157103842,0.722928535071595
11,Kevin Durant,OKC,2016,13,61.53846153846154,35.30769230769231,28.153846153846153,0.7973856209150327,9.692307692307692,18.846153846153847,51.42857142857142,2.8461538461538463,6.230769230769231,45.67901234567901,5.923076923076923,6.615384615384615,89.53488372093024,0.23076923076923078,7.3076923076923075,7.538461538461538,3.6153846153846154,2.6923076923076925,1.3428571428571427,0.9230769230769231,1.6153846153846154,0.5897959183673469,0.6470089096308866,111.47799564270153,101.33747276688453,10.140522875816998,1.3076923076923077,104,20.308496732026143,0.8564286276671127,0.2727272727272727,0.8367880485527545,0.7350232318191018,0.7208601077375131
12,DeMar DeRozan,TOR,2016,20,60.0,36.35,21.65,0.5955983493810179,7.2,16.7,43.11377245508982,0.35,1.5,23.333333333333332,6.9,8.3,83.13253012048193,0.7,3.55,4.25,4.15,2.4,1.7291666666666667,0.95,0.3,0.4416167664670659,0.5318887578616351,106.01031636863821,103.43590096286108,2.574415405777131,2.0,50,12.723383768913342,0.891901228249744,0.9090909090909092,0.588877972096679,0.5585013966263469,0.717599766157421
13,Isaiah Thomas,BOS,2016,19,57.89473684210527,31.0,20.842105263157894,0.6723259762308998,7.105263157894737,16.842105263157894,42.1875,2.210526315789474,6.7368421052631575,32.8125,4.421052631578948,5.105263157894737,86.5979381443299,0.3157894736842105,1.8421052631578947,2.1578947368421053,6.315789473684211,2.526315789473684,2.5,1.6842105263157894,0.0,0.4875,0.5459358111834124,105.87593220338984,99.0891525423729,6.786779661016936,1.7894736842105263,93,14.446949152542373,0.7098259979529171,0.8181818181818181,0.6831433422265341,0.6567783867140088,0.7055131173186797
14,Reggie Jackson,DET,2016,19,52.63157894736842,31.42105263157895,19.894736842105264,0.6331658291457286,7.2631578947368425,16.842105263157894,43.125,1.631578947368421,4.526315789473684,36.04651162790697,3.736842105263158,4.421052631578948,84.52380952380952,0.6842105263157895,3.6315789473684212,4.315789473684211,6.684210526315789,3.3157894736842106,2.015873015873016,1.0526315789473684,0.10526315789473684,0.4796875,0.5294710891976693,105.28795986622075,97.47240802675586,7.815551839464888,2.1052631578947367,105,15.150334448160532,0.7241555783009213,0.8181818181818181,0.635032304379038,0.6807802600225733,0.7027911330522049
15,Kevin Love,CLE,2016,18,72.22222222222221,34.111111111111114,19.166666666666668,0.5618892508143323,6.555555555555555,14.5,45.21072796934866,2.6666666666666665,6.722222222222222,39.66942148760331,3.388888888888889,3.888888888888889,87.14285714285714,2.7222222222222223,8.833333333333334,11.555555555555555,2.2777777777777777,2.388888888888889,0.9534883720930233,0.5555555555555556,0.5555555555555556,0.5440613026819924,0.5911583276216587,109.9169381107492,101.12882736156351,8.788110749185691,2.1666666666666665,105,16.35846905537459,0.8157056749687253,0.7272727272727273,0.547463936714751,0.7034706439824613,0.6952148711603525
16,Paul Millsap,ATL,2016,21,57.14285714285714,33.80952380952381,18.38095238095238,0.543661971830986,6.190476190476191,13.238095238095237,46.76258992805755,0.9523809523809523,3.0476190476190474,31.25,5.0476190476190474,6.380952380952381,79.1044776119403,2.857142857142857,6.714285714285714,9.571428571428571,3.5714285714285716,2.4761904761904763,1.4423076923076923,1.9047619047619047,1.1428571428571428,0.5035971223021583,0.5727682811016145,106.82295774647885,104.27183098591547,2.5511267605633776,2.8095238095238093,40,14.815774647887324,0.8054418287273968,1.0,0.5250704225352113,0.5579580585349223,0.6906242362269792
