,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
0,Klay Thompson,GSW,H,LAL,2017-04-12,W,26,118.2,98.2,20.0,10.0,0.0,12.5,3.7,4.0,3.8,0.0,37.5,43.6,22.2,101.6,8.1
1,Jimmy Butler,CHI,H,BKN,2017-04-12,W,35,98.7,67.1,31.6,21.1,4.0,14.8,2.2,11.6,6.8,3.7,44.7,54.4,25.3,106.05,23.7
2,Paul George,IND,H,ATL,2017-04-12,W,40,121.6,98.7,22.9,14.3,3.0,11.5,0.0,28.2,15.1,3.8,69.0,71.7,28.0,90.75,23.4
3,George Hill,UTA,H,SAS,2017-04-12,W,22,134.1,109.8,24.4,27.8,0.0,35.7,5.6,5.3,5.4,0.0,64.3,70.7,19.1,90.97,17.4
4,Tiago Splitter,PHI,A,NYK,2017-04-12,L,22,124.4,139.5,-15.1,0.0,0.0,0.0,11.1,10.5,10.9,7.1,45.8,46.6,25.0,93.26,5.3
5,Brandon Ingram,LAL,A,GSW,2017-04-12,L,29,84.6,127.3,-42.7,27.8,1.0,18.5,3.0,13.3,7.9,18.5,31.3,32.6,31.4,106.82,3.5
6,Mindaugas Kuzminskas,NYK,H,PHI,2017-04-12,W,18,118.4,76.3,42.1,0.0,0.0,0.0,25.0,5.0,12.5,20.0,64.3,69.8,22.7,100.68,16.3
7,Zach Randolph,MEM,H,DAL,2017-04-12,L,20,106.1,121.2,-15.2,28.6,1.0,11.1,5.9,22.2,14.3,11.1,50.0,51.9,38.1,80.95,19.1
8,Quinn Cook,NOP,A,POR,2017-04-12,W,20,97.6,87.8,9.8,8.3,0.5,9.1,5.3,0.0,2.5,18.2,64.3,69.8,22.7,100.04,12.4
9,Jodie Meeks,ORL,H,DET,2017-04-12,W,18,67.5,117.9,-50.4,14.3,0.5,8.3,0.0,0.0,0.0,16.7,64.3,68.5,25.6,104.65,6.8
10,Darrun Hilliard,DET,A,ORL,2017-04-12,L,13,107.4,75.0,32.4,12.5,0.5,9.1,0.0,0.0,0.0,18.2,42.9,50.8,31.3,99.61,2.7
11,Manu Ginobili,SAS,A,UTA,2017-04-12,L,18,108.3,108.1,0.2,13.3,1.0,25.0,0.0,10.5,5.6,25.0,50.0,64.4,14.6,99.36,6.7
12,Andrew Wiggins,MIN,A,HOU,2017-04-12,L,30,93.8,147.6,-53.9,17.6,0.75,11.1,0.0,5.7,3.2,14.8,47.1,52.3,34.8,100.54,5.5
13,Shelvin Mack,UTA,H,SAS,2017-04-12,W,26,86.8,98.1,-11.3,23.1,3.0,23.1,9.1,3.4,5.9,7.7,71.4,74.2,17.2,96.49,16.4
14,Ryan Anderson,HOU,H,MIN,2017-04-12,W,32,132.8,104.3,28.5,15.4,0.0,19.0,2.7,3.6,3.1,0.0,58.8,58.8,21.5,101.52,7.8
15,Boban Marjanovic,DET,A,ORL,2017-04-12,L,21,104.4,104.4,0.0,0.0,0.0,0.0,17.6,22.7,19.6,0.0,50.0,54.3,21.1,104.6,20.9
16,Andrew Harrison,MEM,H,DAL,2017-04-12,L,25,93.5,116.7,-23.2,7.7,0.0,10.0,2.8,15.0,7.1,0.0,33.3,46.3,14.3,90.42,6.6
17,E'Twaun Moore,NOP,A,POR,2017-04-12,W,14,100.0,127.6,-27.6,22.2,0.0,33.3,5.6,0.0,3.4,0.0,33.3,38.7,11.8,104.85,5.4
18,Jordan Crawford,NOP,A,POR,2017-04-12,W,23,122.7,79.1,43.7,28.6,2.0,22.2,0.0,3.7,2.1,11.1,62.5,62.5,28.6,92.25,18.6
19,Michael Beasley,MIL,A,BOS,2017-04-12,L,35,98.6,112.2,-13.6,9.1,2.0,10.0,2.8,10.3,6.7,5.0,41.2,43.0,22.5,100.31,8.0
20,Malik Beasley,DEN,A,OKC,2017-04-12,W,40,114.4,94.4,20.1,10.3,1.5,13.6,2.7,3.9,3.4,9.1,50.0,50.0,19.4,107.31,6.6
21,Goran Dragic,MIA,H,WAS,2017-04-12,W,37,102.7,94.7,8.0,23.8,0.71,14.7,5.4,5.6,5.5,20.6,57.1,61.5,33.3,97.34,14.4
22,Tyus Jones,MIN,A,HOU,2017-04-12,L,28,118.3,101.7,16.7,31.8,7.0,38.9,3.0,10.0,6.3,5.6,83.3,86.0,15.9,102.43,17.4
23,Jeff Teague,IND,H,ATL,2017-04-12,W,32,126.7,103.3,23.4,31.8,7.0,35.0,0.0,0.0,0.0,5.0,72.2,75.9,20.0,90.75,15.4
24,Reggie Bullock Jr.,DET,A,ORL,2017-04-12,L,29,120.0,90.2,29.8,13.0,0.0,25.0,0.0,6.9,2.9,0.0,94.4,94.4,12.2,100.08,20.1
25,Jae Crowder,BOS,H,MIL,2017-04-12,W,30,119.7,103.3,16.4,9.5,2.0,12.5,0.0,16.1,7.9,6.3,62.5,62.1,19.4,96.41,12.4
