,PHI,GSW,OKC,BOS,DET,DAL,CLE,SAC,NOP,MEM,LAC,ATL,NYK,BKN,SAS,MIL,HOU,UTA,PHX,DEN,TOR,CHA,MIA,IND,ORL,MIN,WAS,CHI,LAL,POR
0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0
1,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0
2,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0
3,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0
4,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0
5,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0
6,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0
7,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0
8,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0
9,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0
10,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0
11,8.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0
12,8.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0
13,8.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0
14,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0
15,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0
16,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0
17,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0
18,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0
19,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0
20,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0
21,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
22,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
23,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
24,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
25,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
26,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
27,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
28,8.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
29,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
30,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
31,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0
32,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0
33,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0
34,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0
35,8.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0
36,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0
37,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0
38,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0
39,9.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0
40,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0
41,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0
42,9.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0
43,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0
44,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0
45,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0
46,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0
47,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0
48,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0
49,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0
