,LAL,NOP,LAC,TOR,PHX,CLE,SAC,DEN,UTA,ORL,BOS,PHI,MEM,IND,CHA,DET,POR,MIN,WAS,MIA,CHI,DAL,BKN,NYK,SAS,OKC,HOU,GSW,MIL,ATL
0,10.0,12.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,10.0,10.0
1,10.0,11.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,8.0,10.0,10.0,10.0
2,10.0,11.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0
3,10.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0
4,10.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0
5,10.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0
6,10.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0
7,10.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0
8,10.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0
9,10.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0
