,Date,Team,Name
0,02/16/2023,LAC,Kawhi Leonard
1,02/16/2023,LAC,Terance Mann
2,02/16/2023,LAC,Paul George
3,02/16/2023,LAC,Nicolas Batum
4,02/16/2023,LAC,Eric Gordon
5,02/16/2023,LAC,Ivica Zubac
6,02/16/2023,LAC,Bones Hyland
7,02/16/2023,LAC,Marcus Morris Sr.
8,02/16/2023,LAC,Mason Plumlee
9,02/16/2023,LAC,Brandon Boston Jr.
10,02/16/2023,LAC,Moses Brown
11,02/16/2023,LAC,Amir Coffey
12,02/16/2023,LAC,Robert Covington
13,02/16/2023,LAC,Moussa Diabate
14,02/16/2023,LAC,Jason Preston
15,02/16/2023,LAC,Norman Powell
16,02/16/2023,CHI,Nikola Vucevic
17,02/16/2023,CHI,Zach LaVine
18,02/16/2023,CHI,Dalen Terry
19,02/16/2023,CHI,Ayo Dosunmu
20,02/16/2023,CHI,Patrick Williams
21,02/16/2023,CHI,Marko Simonovic
22,02/16/2023,CHI,Malcolm Hill
23,02/16/2023,CHI,Coby White
24,02/16/2023,CHI,Tony Bradley
25,02/16/2023,CHI,Andre Drummond
26,02/16/2023,CHI,Carlik Jones
27,02/16/2023,CHI,Lonzo Ball
28,02/16/2023,CHI,Alex Caruso
29,02/16/2023,CHI,DeMar DeRozan
30,02/16/2023,CHI,Goran Dragic
31,02/16/2023,CHI,Javonte Green
32,02/16/2023,CHI,Derrick Jones Jr.
33,02/16/2023,PHX,Terrence Ross
34,02/16/2023,PHX,Josh Okogie
35,02/16/2023,PHX,Deandre Ayton
36,02/16/2023,PHX,Chris Paul
37,02/16/2023,PHX,Bismack Biyombo
38,02/16/2023,PHX,Devin Booker
39,02/16/2023,PHX,Torrey Craig
40,02/16/2023,PHX,Ish Wainright
41,02/16/2023,PHX,Damion Lee
42,02/16/2023,PHX,Saben Lee
43,02/16/2023,PHX,T.J. Warren
44,02/16/2023,PHX,Jock Landale
45,02/16/2023,PHX,Darius Bazley
46,02/16/2023,PHX,Kevin Durant
48,02/16/2023,PHX,Cameron Payne
49,02/16/2023,PHX,Landry Shamet
50,02/16/2023,MIN,Kyle Anderson
51,02/16/2023,MIN,Rudy Gobert
52,02/16/2023,MIN,Anthony Edwards
53,02/16/2023,MIN,Jaden McDaniels
54,02/16/2023,MIN,Taurean Prince
55,02/16/2023,MIN,Naz Reid
56,02/16/2023,MIN,Jaylen Nowell
57,02/16/2023,MIN,Jordan McLaughlin
58,02/16/2023,MIN,Mike Conley
59,02/16/2023,MIN,Nickeil Alexander-Walker
60,02/16/2023,MIN,Austin Rivers
61,02/16/2023,MIN,Nathan Knight
62,02/16/2023,MIN,Josh Minott
63,02/16/2023,MIN,Wendell Moore Jr.
66,02/16/2023,MIN,Karl-Anthony Towns
67,02/16/2023,MIL,Brook Lopez
68,02/16/2023,MIL,Jrue Holiday
69,02/16/2023,MIL,Jevon Carter
70,02/16/2023,MIL,Thanasis Antetokounmpo
71,02/16/2023,MIL,Joe Ingles
72,02/16/2023,MIL,Giannis Antetokounmpo
73,02/16/2023,MIL,Grayson Allen
74,02/16/2023,MIL,Wesley Matthews
75,02/16/2023,MIL,MarJon Beauchamp
76,02/16/2023,MIL,Sandro Mamukelashvili
77,02/16/2023,MIL,AJ Green
79,02/16/2023,MIL,Pat Connaughton
80,02/16/2023,MIL,Jae Crowder
81,02/16/2023,MIL,Khris Middleton
82,02/16/2023,MIL,Bobby Portis
83,02/16/2023,WAS,Kyle Kuzma
84,02/16/2023,WAS,Deni Avdija
85,02/16/2023,WAS,Kristaps Porzingis
86,02/16/2023,WAS,Bradley Beal
87,02/16/2023,WAS,Delon Wright
88,02/16/2023,WAS,Monte Morris
89,02/16/2023,WAS,Daniel Gafford
90,02/16/2023,WAS,Kendrick Nunn
91,02/16/2023,WAS,Corey Kispert
92,02/16/2023,WAS,Vernon Carey Jr.
93,02/16/2023,WAS,Johnny Davis
94,02/16/2023,WAS,Taj Gibson
95,02/16/2023,WAS,Anthony Gill
96,02/16/2023,WAS,Quenton Jackson
97,02/16/2023,WAS,Will Barton
98,02/16/2023,WAS,Isaiah Todd
