,Date,Team,Name,Injury
0,10/18/2022,LAL,Damian Jones,DNP - Coach's Decision
1,10/18/2022,GSW,Patrick Baldwin Jr.,DNP - Coach's Decision
2,10/18/2022,PHI,Furkan Korkmaz,DNP - Coach's Decision
3,10/18/2022,PHI,Shake Milton,DNP - Coach's Decision
4,10/18/2022,PHI,Paul Reed,DNP - Coach's Decision
5,10/18/2022,PHI,Jaden Springer,DNP - Coach's Decision
6,10/18/2022,BOS,JD Davison,DNP - Coach's Decision
7,10/18/2022,BOS,Justin Jackson,DNP - Coach's Decision
8,10/18/2022,BOS,Mfiondu Kabengele,DNP - Coach's Decision
9,10/18/2022,BOS,Luke Kornet,DNP - Coach's Decision
10,10/18/2022,BOS,Payton Pritchard,DNP - Coach's Decision
11,10/19/2022,NYK,Ryan Arcidiacono,DNP - Coach's Decision
12,10/19/2022,NYK,Feron Hunt,DNP - Coach's Decision
13,10/19/2022,NYK,Miles McBride,DNP - Coach's Decision
14,10/19/2022,NYK,Svi Mykhailiuk,DNP - Coach's Decision
15,10/19/2022,NYK,Jericho Sims,DNP - Coach's Decision
16,10/19/2022,MEM,Kennedy Chandler,DNP - Coach's Decision
17,10/19/2022,MEM,Kenneth Lofton Jr.,DNP - Coach's Decision
18,10/19/2022,MEM,Vince Williams Jr.,DNP - Coach's Decision
19,10/19/2022,UTA,Micah Potter,DNP - Coach's Decision
20,10/19/2022,CHI,Tony Bradley,DNP - Coach's Decision
21,10/19/2022,CHI,Malcolm Hill,DNP - Coach's Decision
22,10/19/2022,CHI,Derrick Jones Jr.,DNP - Coach's Decision
23,10/19/2022,CHI,Marko Simonovic,DNP - Coach's Decision
24,10/19/2022,CHI,Dalen Terry,DNP - Coach's Decision
25,10/19/2022,MIA,Udonis Haslem,DNP - Coach's Decision
26,10/19/2022,MIA,Nikola Jovic,DNP - Coach's Decision
27,10/19/2022,MIA,Dru Smith,DNP - Coach's Decision
28,10/19/2022,CLE,Robin Lopez,DNP - Coach's Decision
29,10/19/2022,CLE,Isaiah Mobley,DNP - Coach's Decision
30,10/19/2022,CLE,Lamar Stevens,DNP - Coach's Decision
31,10/19/2022,TOR,Justin Champagnie,DNP - Coach's Decision
32,10/19/2022,TOR,Jeff Dowtin,DNP - Coach's Decision
33,10/19/2022,TOR,Malachi Flynn,DNP - Coach's Decision
34,10/19/2022,TOR,Ron Harper Jr.,DNP - Coach's Decision
35,10/19/2022,HOU,Usman Garuba,DNP - Coach's Decision
36,10/19/2022,HOU,Trevor Hudgins,DNP - Coach's Decision
37,10/19/2022,HOU,Boban Marjanovic,DNP - Coach's Decision
38,10/19/2022,ATL,Jarrett Culver,DNP - Coach's Decision
39,10/19/2022,ATL,Trent Forrest,DNP - Coach's Decision
40,10/19/2022,ATL,AJ Griffin,DNP - Coach's Decision
41,10/19/2022,ATL,Frank Kaminsky,DNP - Coach's Decision
42,10/19/2022,ATL,Vit Krejci,DNP - Coach's Decision
43,10/19/2022,ATL,Tyrese Martin,DNP - Coach's Decision
44,10/19/2022,POR,Greg Brown III,DNP - Coach's Decision
45,10/19/2022,POR,Keon Johnson,DNP - Coach's Decision
46,10/19/2022,POR,Jabari Walker,DNP - Coach's Decision
47,10/19/2022,SAC,Matthew Dellavedova,DNP - Coach's Decision
48,10/19/2022,SAC,Alex Len,DNP - Coach's Decision
49,10/19/2022,SAC,Chimezie Metu,DNP - Coach's Decision
50,10/19/2022,SAC,Chima Moneke,DNP - Coach's Decision
51,10/19/2022,SAS,Malaki Branham,DNP - Coach's Decision
52,10/19/2022,SAS,Blake Wesley,DNP - Coach's Decision
53,10/19/2022,OKC,Aaron Wiggins,DNP - Coach's Decision
54,10/19/2022,OKC,Jaylin Williams,DNP - Coach's Decision
55,10/19/2022,MIN,Nathan Knight,DNP - Coach's Decision
56,10/19/2022,MIN,Josh Minott,DNP - Coach's Decision
57,10/19/2022,MIN,Wendell Moore Jr.,DNP - Coach's Decision
58,10/19/2022,MIN,Naz Reid,DNP - Coach's Decision
