,Date,Player,Injury,Status
1,"Apr, 9 3:30 PM",Desmond Bane,Left Knee Soreness,Out
2,"Apr, 9 3:30 PM",Tyus Jones,Left Foot Soreness,Out
3,"Apr, 9 3:30 PM",Dillon Brooks,Right Groin Soreness,Out
4,"Apr, 9 3:30 PM",Santi Aldama,Left Elbow Soreness,Out
5,"Apr, 9 3:30 PM",Ziaire Williams,Right Foot/ankle Soreness,Available
6,"Apr, 9 3:30 PM",Jaren Jackson Jr,Left Elbow Soreness,Out
7,"Apr, 9 3:30 PM",Anthony Davis,Right Foot Stress Injury,Available
8,"Apr, 9 3:30 PM",LeBron James,Right Foot Soreness,Available
9,"Apr, 9 3:30 PM",D'Angelo Russell,Left Foot Soreness,Available
10,"Apr, 9 3:30 PM",Rudy Gobert,Back Spasms,Available
11,"Apr, 9 3:30 PM",Jaylen Nowell,Left Knee Tendinopathy,Out
12,"Apr, 9 3:30 PM",Romeo Langford,Left Adductor Injury Management,Available
13,Apr 9 2:30 PM,Nikola Jokic,Right Calf Tightness,Out
14,Apr 9 2:30 PM,Jamal Murray,Right Thumb Sprain,Out
15,Apr 9 2:30 PM,Aaron Gordon,Right Shoulder Inflammation,Out
16,Apr 9 2:30 PM,Bruce Brown,Left Patellofemoral Inflammation,Available
17,Apr 9 2:30 PM,Kentavious Caldwell-Pope,Non-COVID Illness,Out
18,Apr 9 2:30 PM,Reggie Jackson,Low Back Pain,Available
19,Apr 9 2:30 PM,Jeff Green,Facial Contusion,Out
20,Apr 9 2:30 PM,Michael Porter Jr,Left Heel Injury Management,Out
21,Apr 9 2:30 PM,Collin Gillespie,Right Lower Leg Fracture,Out
22,Apr 9 2:30 PM,Stephen Curry,Right Hip Contusion,Available
23,Apr 9 2:30 PM,Jonathan Kuminga,Right Toe Contusion,Available
24,Apr 9 2:30 PM,Malik Monk,Left Lower Leg Soreness,Available
25,Apr 9 2:30 PM,Davion Mitchell,Left Knee Soreness,Out
26,Apr 9 2:30 PM,Drew Eubanks,Right Ankle Sprain,Out
27,Apr 9 2:30 PM,Shaedon Sharpe,Right Quad Contusion,Available
28,Apr 9 2:30 PM,Trendon Watford,Right Ankle Sprain,Available
29,Apr 9 2:30 PM,Cameron Reddish,Lumbar Soreness,Out
30,Apr 9 2:30 PM,Kevin Knox,Right Quad Contusion,Available
31,Apr 9 2:30 PM,Karl-Anthony Towns,Right Calf Strain,Available
32,Apr 9 2:30 PM,Austin Rivers,Illness,Available
33,Apr 9 2:30 PM,TJ Warren,Non-COVID Illness,Out
34,Apr 9 2:30 PM,Dennis Schroeder,Right Achilles Soreness,Out
35,"Apr 9, 1:30 PM",Ty Jerome,General Illness,Out
36,"Apr 9, 12:30 PM",Jayson Tatum,Left Hip Contusion,Out
37,"Apr 9, 12:30 PM",Marcus Smart,Left Neck Spasm,Out
38,"Apr 9, 12:30 PM",Malcolm Brogdon,Low Back Pain,Out
39,"Apr 9, 12:30 PM",Robert Williams,Left Knee Soreness,Out
40,"Apr 9, 12:30 PM",Zach LaVine,Left Knee Injury Management,Available
41,"Apr 9, 12:30 PM",Spencer Dinwiddie,Rest,Out
42,"Apr 9, 12:30 PM",Nic Claxton,Rest,Out
43,"Apr 9, 12:30 PM",Joe Harris,Rest,Out
44,"Apr 9, 12:30 PM",Edmond Sumner,Right Hip Contusion,Out
45,"Apr 9, 12:30 PM",Jarrett Allen,Right Groin Strain,Available
46,"Apr 9, 12:30 PM",Paolo Banchero,Back Tightness,Out
47,"Apr 9, 12:30 PM",Myles Turner,Left Ankle Soreness,Out
48,"Apr 9, 12:30 PM",Jalen Smith,Right Knee Soreness,Out
49,"Apr 9, 12:30 PM",Aaron Nesmith,Head Contusion,Available
50,"Apr 9, 12:30 PM",Isaiah Jackson,Head Contusion,Available
51,"Apr 9, 12:30 PM",Oshae Brissett,Lower Back Soreness,Available
52,"Apr 9, 12:30 PM",TJ McConnell,Right Hip Soreness,Out
53,"Apr 9, 12:30 PM",De'Andre Hunter,Left Knee Soreness,Available
54,"Apr 9, 12:30 PM",Kelly Olynyk,Rest,Available
55,"Apr 9, 12:30 PM",Isaiah Roby,Not With Team,Out
56,"Apr 9, 12:30 PM",Trevor Keels,Illness,Out
57,"Apr 9, 12:30 PM",DaQuan Jeffries,Right Calf Strained,Available
58,"Apr 9, 12:30 PM",Dennis Smith,Right Great Toe Sprain,Out
59,"Apr 9, 11:30 AM",Jimmy Butler,Rest,Out
60,"Apr 9, 11:30 AM",Bam Adebayo,Left Quadriceps Tendon Strain,Available
61,"Apr 9, 11:30 AM",Tyler Herro,Right Quadriceps Contusion,Available
62,"Apr 9, 11:30 AM",Max Strus,Right 2nd Finger Hyperextension,Available
63,"Apr 9, 11:30 AM",Kyle Lowry,Left Knee Soreness,Available
64,"Apr 9, 11:30 AM",Victor Oladipo,Left Elbow Contusion,Available
65,"Apr 9, 11:30 AM",Franz Wagner,Left Ankle Sprain,Available
66,"Apr 9, 11:30 AM",Markelle Fultz,Left Knee Soreness,Available
67,"Apr 9, 11:30 AM",Gary Harris,Left Adductor Soreness,Available
68,"Apr 9, 11:30 AM",Wendell Carter Jr,Left Hip Soreness,Available
69,"Apr 9, 11:30 AM",Drew Eubanks,Right Ankle Sprain,Questionable
70,"Apr 9, 11:30 AM",Shaedon Sharpe,Right Quad Contusion,Probable
71,"Apr 9, 11:30 AM",Trendon Watford,Right Ankle Sprain,Probable
72,"Apr 9, 11:30 AM",Cameron Reddish,Lumbar Soreness,Questionable
73,"Apr 9, 11:30 AM",Kevin Knox,Right Quadriceps Contusion,Probable
74,"Apr 9, 11:30 AM",Georges Niang,Left Knee Soreness,Out
75,"Apr 9, 11:30 AM",Romeo Langford,Left Adductor Injury management,Questionable
76,"Apr 9, 11:30 AM",Eugene Omoruyi,Left Ankle Sprain,Out
77,Apr 9 10:30 AM,Nikola Jokic,Right Calf Tightness,Questionable
78,Apr 9 10:30 AM,Jamal Murray,Right Thumb Sprain,Questionable
79,Apr 9 10:30 AM,Aaron Gordon,Right Shoulder Inflammation,Questionable
80,Apr 9 10:30 AM,Bruce Brown,Left Patellofemoral Inflammation,Questionable
81,Apr 9 10:30 AM,Kentavious Caldwell-Pope,Non-COVID Illness,Questionable
82,Apr 9 10:30 AM,Reggie Jackson,Low Back Pain,Probable
83,Apr 9 10:30 AM,Jeff Green,Facial Contusion,Questionable
84,Apr 9 10:30 AM,Michael Porter Jr,Left Heel Injury Management,Questionable
85,Apr 9 10:30 AM,Collin Gillespie,Right Lower Leg Fracture,Doubtful
86,Apr 9 10:30 AM,Rudy Gobert,Back Spasms,Questionable
87,Apr 9 10:30 AM,Jaylen Nowell,Left Knee Tendinopathy,Questionable
88,Apr 9 10:30 AM,Karl-Anthony Towns,Right Calf Strain,Questionable
89,Apr 9 10:30 AM,Austin Rivers,Illness,Questionable
90,Apr 9 10:30 AM,Matt Ryan,G League - Two-Way,Out
91,Apr 9 10:30 AM,Edmond Sumner,Right Hip Contusion,Doubtful
92,Apr 8 6:30 PM,Anthony Davis,Right Foot Stress injury,Questionable
93,Apr 8 6:30 PM,LeBron James,Right Foot Soreness,Questionable
94,Apr 8 6:30 PM,D'Angelo Russell,Left Foot Soreness,Probable
95,Apr 8 6:30 PM,Dennis Schroeder,Right Achilles Soreness,Questionable
96,"Apr 8, 5:30 PM",Cameron Payne,Low Back Soreness,Out
97,"Apr 8, 5:30 PM",Bismack Biyombo,Right Knee Bone Contusion,Out
98,"Apr 8, 5:30 PM",TJ Warren,Non-COVID Illness,Doubtful
99,"Apr 8, 5:30 PM",AJ Green,Right Foot Soreness,Out
100,"Apr 8, 5:30 PM",Georges Niang,Left Knee Soreness,Questionable
101,"Apr 8, 5:30 PM",Jayson Tatum,Left Hip Contusion,Questionable
102,"Apr 8, 5:30 PM",Al Horford,Low Back Stiffness,Out
103,"Apr 8, 5:30 PM",Malcolm Brogdon,Low Back Pain,Available
104,"Apr 8, 5:30 PM",Robert Williams,Left Knee Soreness,Questionable
105,"Apr 8, 5:30 PM",Jimmy Butler,Rest,Questionable
106,"Apr 8, 5:30 PM",Bam Adebayo,Left Quadriceps Tendon Strain,Probable
107,"Apr 8, 5:30 PM",Tyler Herro,Right Quadriceps Contusion,Questionable
108,"Apr 8, 5:30 PM",Max Strus,Right 2nd Finger Hyperextension,Probable
109,"Apr 8, 5:30 PM",Kyle Lowry,Left Knee Soreness,Questionable
110,"Apr 8, 5:30 PM",Kevin Love,Right Rib Contusion,Available
111,"Apr 8, 5:30 PM",Victor Oladipo,Left Elbow Contusion,Probable
112,"Apr 8, 5:30 PM",Trae Young,Right Groin Soreness,Out
