,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,AST/TO,STL,BLK,EFG%,TS%,OFFRTG,DEFRTG,NETRTG,PF,Plusminus,PIE,SIE
0,Trevor Keels,NYK,2022-2023,1,100.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,66.7,-66.7,0.0,-2,0.0,0.48601069638075656
1,Buddy Boeheim,DET,2022-2023,1,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,66.7,0.0,66.7,0.0,2,0.0,0.016461962401614082
2,Joshua Primo,SAS,2022-2023,4,75.0,23.5,7.0,0.2978723404255319,2.25,6.5,34.61538461538461,0.75,3.0,25.0,1.75,2.25,77.77777777777779,0.5,2.75,3.25,4.5,2.75,1.6363636363636365,0.25,0.5,0.4038461538461538,0.4672897196261682,112.61702127659576,111.168085106383,1.448936170212761,2.0,-2,5.174468085106383,0.7595807270017574
3,Jordan Schakel,WAS,2022-2023,2,0.0,3.0,1.5,0.5,0.5,1.0,50.0,0.5,0.5,100.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,inf,0.5,0.0,0.75,0.75,133.33333333333334,83.33333333333334,50.0,0.5,6,10.0,0.7154119174603244
4,Cade Cunningham,DET,2022-2023,12,25.0,33.25,19.916666666666668,0.5989974937343359,7.75,18.666666666666668,41.517857142857146,1.4166666666666667,5.083333333333333,27.86885245901639,3.0,3.583333333333333,83.72093023255815,1.0,5.166666666666667,6.166666666666667,6.0,3.25,1.8461538461538465,0.8333333333333334,0.5833333333333334,0.453125,0.4919315000823316,111.183,117.3535,-6.17049999999999,2.833333333333333,-60,10.86525,1.0750367716490599
5,Otto Porter Jr.,TOR,2022-2023,8,50.0,18.375,5.5,0.2993197278911564,1.875,3.75,50.0,0.75,2.125,35.294117647058826,1.0,1.0,100.0,0.75,1.625,2.375,1.0,0.5,2.0,1.375,0.0,0.6,0.6563245823389021,110.00405405405404,114.58648648648648,-4.582432432432441,0.875,-21,8.858108108108109,0.7071870429540394
6,Chima Moneke,SAC,2022-2023,2,50.0,4.0,1.0,0.25,0.5,1.0,50.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.5,0.3472222222222222,71.44999999999999,123.85,-52.40000000000002,1.0,-9,-8.475000000000001,0.4573277399696832
7,Michael Foster Jr.,PHI,2022-2023,1,100.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,100.0,-100.0,0.0,-2,0.0,0.32965096796570215
8,Braxton Key,DET,2022-2023,3,0.0,3.0,1.3333333333333333,0.4444444444444444,0.3333333333333333,0.3333333333333333,100.0,0.0,0.0,,0.6666666666666666,0.6666666666666666,100.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,,0.0,0.0,1.0,1.0638297872340423,107.4,107.62222222222223,-0.2222222222222285,0.0,-3,14.11111111111111,0.6021988123347073
9,Jordan Hall,SAS,2022-2023,9,11.11111111111111,9.444444444444445,3.111111111111111,0.3294117647058823,1.0,3.111111111111111,32.142857142857146,0.3333333333333333,1.6666666666666667,20.0,0.7777777777777778,1.0,77.77777777777779,0.3333333333333333,1.0,1.3333333333333333,1.2222222222222223,0.7777777777777778,1.5714285714285714,0.1111111111111111,0.0,0.375,0.4380475594493116,94.69294117647058,106.91529411764704,-12.222352941176467,0.6666666666666666,-24,6.35764705882353,0.6405246734918708
