,Name,Team,Location,Opponent,Date,Result,Mins,Points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plusminus
0,Kevin Knox II,POR,H,GSW,04/09/2023,L,33,13,4,16,25.0,2,9,22.2,3,4,75.0,0,0,0,1,1,0,0,2,-34
1,Domantas Sabonis,SAC,A,DEN,04/09/2023,L,19,14,6,9,66.7,0,0,0.0,2,3,66.7,5,4,9,5,0,2,2,2,6
2,Kawhi Leonard,LAC,A,PHX,04/09/2023,W,36,25,11,21,52.4,0,3,0.0,3,5,60.0,0,15,15,6,0,0,4,4,-7
3,Raul Neto,CLE,H,CHA,04/09/2023,L,22,13,4,9,44.4,0,3,0.0,5,5,100.0,1,0,1,6,1,0,2,4,-12
4,Carlik Jones,CHI,H,DET,04/09/2023,W,12,11,3,6,50.0,1,3,33.3,4,4,100.0,0,1,1,3,1,0,0,0,19
5,Jonas Valanciunas,NOP,A,MIN,04/09/2023,L,22,11,5,14,35.7,1,3,33.3,0,0,0.0,4,14,18,1,0,1,2,3,7
6,Sandro Mamukelashvili,SAS,A,DAL,04/09/2023,W,31,23,8,17,47.1,4,7,57.1,3,6,50.0,3,8,11,4,0,1,2,0,27
7,Chris Boucher,TOR,H,MIL,04/09/2023,W,20,10,4,5,80.0,0,0,0.0,2,2,100.0,1,4,5,1,2,1,2,3,9
8,Bones Hyland,LAC,A,PHX,04/09/2023,W,18,11,5,11,45.5,1,4,25.0,0,0,0.0,0,5,5,2,0,0,2,1,6
9,Sam Merrill,CLE,H,CHA,04/09/2023,L,26,17,6,12,50.0,3,9,33.3,2,2,100.0,0,4,4,1,3,0,0,1,-11
10,Tre Mann,OKC,H,MEM,04/09/2023,W,47,24,9,16,56.3,1,4,25.0,5,5,100.0,1,11,12,12,2,0,5,2,13
11,Kevin Huerter,SAC,A,DEN,04/09/2023,L,21,12,5,9,55.6,2,4,50.0,0,0,0.0,0,1,1,3,1,1,2,4,5
12,De'Andre Hunter,ATL,A,BOS,04/09/2023,L,17,14,5,9,55.6,1,3,33.3,3,3,100.0,0,3,3,1,0,0,2,1,1
13,Svi Mykhailiuk,CHA,A,CLE,04/09/2023,W,35,16,6,18,33.3,2,10,20.0,2,2,100.0,4,3,7,6,2,0,3,2,5
14,Russell Westbrook,LAC,A,PHX,04/09/2023,W,40,25,8,19,42.1,2,4,50.0,7,10,70.0,6,1,7,9,1,0,2,1,8
15,Markieff Morris,DAL,H,SAS,04/09/2023,L,27,10,4,17,23.5,2,11,18.2,0,0,0.0,0,7,7,2,0,0,0,4,-21
16,Andre Drummond,CHI,H,DET,04/09/2023,W,13,8,3,7,42.9,0,0,0.0,2,4,50.0,5,5,10,0,1,0,1,1,-9
17,Julian Champagnie,SAS,A,DAL,04/09/2023,W,33,16,5,16,31.3,3,10,30.0,3,4,75.0,1,9,10,3,0,0,0,0,22
18,Ousmane Dieng,OKC,H,MEM,04/09/2023,W,45,22,8,15,53.3,2,8,25.0,4,5,80.0,1,7,8,9,1,1,4,2,11
19,John Konchar,MEM,A,OKC,04/09/2023,L,36,2,1,5,20.0,0,2,0.0,0,0,0.0,2,7,9,3,2,2,1,3,-15
20,Ish Wainright,PHX,H,LAC,04/09/2023,L,32,7,2,6,33.3,2,5,40.0,1,2,50.0,0,7,7,1,0,1,1,4,6
21,Gorgui Dieng,SAS,A,DAL,04/09/2023,W,23,13,4,8,50.0,2,6,33.3,3,4,75.0,1,9,10,4,0,1,3,2,11
22,Mitchell Robinson,NYK,H,IND,04/09/2023,L,27,9,4,10,40.0,0,0,0.0,1,4,25.0,14,6,20,2,1,7,3,2,18
23,Jalen Suggs,ORL,A,MIA,04/09/2023,L,15,8,3,6,50.0,2,3,66.7,0,0,0.0,3,4,7,2,0,1,1,1,1
