,Date,Home,Away,Favorite,Spread,O/U,Attendance,Capacity
0,10/24/2023,LAL,DEN,DEN,-4.5,228.5,19842,[]
1,10/24/2023,PHX,GSW,GSW,-3.5,235.5,18064,[]
2,10/25/2023,ATL,CHA,ATL,-4.5,235.5,16129,[]
3,10/25/2023,WAS,IND,IND,-4.5,235.5,16004,[]
4,10/25/2023,BOS,NYK,BOS,-4.5,223.5,19812,[]
5,10/25/2023,HOU,ORL,ORL,-4.5,219.5,18846,[]
6,10/25/2023,CLE,BKN,CLE,-1.5,218.5,17931,[]
7,10/25/2023,DET,MIA,MIA,-9.5,218.5,19695,[]
8,10/25/2023,MIN,TOR,TOR,-0.5,220.5,19800,[]
9,10/25/2023,OKC,CHI,CHI,-2.5,224.5,21369,[]
10,10/25/2023,NOP,MEM,MEM,-1.5,224.5,17798,[]
11,10/25/2023,SAC,UTA,SAC,-1.5,234.5,18206,[]
12,10/25/2023,DAL,SAS,DAL,-4.5,231.5,18947,[]
13,10/25/2023,POR,LAC,LAC,-10.5,225.5,19370,[]
14,10/26/2023,PHI,MIL,MIL,-5.5,227.5,17783,[]
15,10/26/2023,PHX,LAL,LAL,-6.5,226.5,18997,[]
16,10/27/2023,DET,CHA,CHA,-4.5,226.5,15855,[]
17,10/27/2023,DEN,MEM,DEN,-5.5,221.5,16617,[]
18,10/27/2023,NYK,ATL,ATL,-0.5,229.5,17692,[]
19,10/27/2023,MIA,BOS,BOS,-8.5,220.5,19156,[]
20,10/27/2023,OKC,CLE,CLE,-2.5,226.5,19432,[]
21,10/27/2023,TOR,CHI,CHI,-2.5,216.5,19555,[]
22,10/27/2023,HOU,SAS,SAS,-2.5,224.5,18354,[]
23,10/27/2023,BKN,DAL,DAL,-6.5,231.5,20238,[]
24,10/27/2023,LAC,UTA,LAC,-4.5,227.5,18206,[]
25,10/27/2023,ORL,POR,ORL,-4.5,220.5,19464,[]
26,10/27/2023,GSW,SAC,SAC,-3.5,237.5,18250,[]
27,10/28/2023,CHI,DET,CHI,-2.5,214.5,20062,[]
28,10/28/2023,MEM,WAS,WAS,-0.5,228.5,16191,[]
29,10/28/2023,NYK,NOP,NOP,-3.5,223.5,16331,[]
30,10/28/2023,IND,CLE,IND,-3.5,221.5,19432,[]
31,10/28/2023,PHI,TOR,PHI,-4.5,214.5,19800,[]
32,10/28/2023,MIA,MIN,MIN,-8.5,215.5,18024,[]
