,Date,Home,Away,Favorite,Spread,O/U,Attendance,Capacity,Game ID
0,2023-10-24,LAL,DEN,DEN,-4.5,228.5,19842,[],401584689
1,2023-10-24,PHX,GSW,GSW,-3.5,235.5,18064,[],401584690
2,2023-10-25,ATL,CHA,ATL,-4.5,235.5,16129,[],401584691
3,2023-10-25,WAS,IND,IND,-4.5,235.5,16004,[],401584692
4,2023-10-25,BOS,NYK,BOS,-4.5,223.5,19812,[],401584693
5,2023-10-25,HOU,ORL,ORL,-4.5,219.5,18846,[],401584694
6,2023-10-25,CLE,BKN,CLE,-1.5,218.5,17931,[],401584695
7,2023-10-25,DET,MIA,MIA,-9.5,218.5,19695,[],401584696
8,2023-10-25,MIN,TOR,TOR,-0.5,220.5,19800,[],401584697
9,2023-10-25,OKC,CHI,CHI,-2.5,224.5,21369,[],401584698
10,2023-10-25,NOP,MEM,MEM,-1.5,224.5,17798,[],401584699
11,2023-10-25,SAC,UTA,SAC,-1.5,234.5,18206,[],401584700
12,2023-10-25,DAL,SAS,DAL,-4.5,231.5,18947,[],401584701
13,2023-10-25,POR,LAC,LAC,-10.5,225.5,19370,[],401584702
14,2023-10-26,PHI,MIL,MIL,-5.5,227.5,17783,[],401584703
15,2023-10-26,PHX,LAL,LAL,-6.5,226.5,18997,[],401584704
16,2023-10-27,DET,CHA,CHA,-4.5,226.5,15855,[],401584705
17,2023-10-27,DEN,MEM,DEN,-5.5,221.5,16617,[],401584706
18,2023-10-27,NYK,ATL,ATL,-0.5,229.5,17692,[],401584707
19,2023-10-27,MIA,BOS,BOS,-8.5,220.5,19156,[],401584708
20,2023-10-27,OKC,CLE,CLE,-2.5,226.5,19432,[],401584709
21,2023-10-27,TOR,CHI,CHI,-2.5,216.5,19555,[],401584710
22,2023-10-27,HOU,SAS,SAS,-2.5,224.5,18354,[],401584711
23,2023-10-27,BKN,DAL,DAL,-6.5,231.5,20238,[],401584712
24,2023-10-27,LAC,UTA,LAC,-4.5,227.5,18206,[],401584713
25,2023-10-27,ORL,POR,ORL,-4.5,220.5,19464,[],401584714
26,2023-10-27,GSW,SAC,SAC,-3.5,237.5,18250,[],401584715
27,2023-10-28,CHI,DET,CHI,-2.5,214.5,20062,[],401584716
28,2023-10-28,MEM,WAS,WAS,-0.5,228.5,16191,[],401584717
29,2023-10-28,NYK,NOP,NOP,-3.5,223.5,16331,[],401584718
30,2023-10-28,IND,CLE,IND,-3.5,221.5,19432,[],401584719
31,2023-10-28,PHI,TOR,PHI,-4.5,214.5,19800,[],401584720
32,2023-10-28,MIA,MIN,MIN,-8.5,215.5,18024,[],401584721
33,2023-10-28,UTA,PHX,PHX,-5.5,222.5,17071,[],401584722
34,2023-10-29,DEN,OKC,DEN,-3.5,230.5,18203,[],401584723
35,2023-10-29,GSW,HOU,GSW,-7.5,223.5,18055,[],401584724
36,2023-10-29,ATL,MIL,MIL,-6.5,238.5,17341,[],401584725
37,2023-10-29,POR,PHI,PHI,-9.5,216.5,19768,[],401584726
38,2023-10-29,SAS,LAC,LAC,-9.5,229.5,19370,[],401584727
39,2023-10-29,LAL,SAC,SAC,-2.5,235.5,18198,[],401584728
40,2023-10-30,BKN,CHA,BKN,-1.5,227.5,14491,[],401584729
41,2023-10-30,CHI,IND,IND,-3.5,229.5,15021,[],401584730
42,2023-10-30,BOS,WAS,BOS,-10.5,231.5,17898,[],401584731
43,2023-10-30,MIN,ATL,MIN,-2.5,229.5,15504,[],401584732
44,2023-10-30,POR,TOR,TOR,-9.5,216.5,19266,[],401584733
45,2023-10-30,DAL,MEM,MEM,-1.5,222.5,15031,[],401584734
46,2023-10-30,MIA,MIL,MIL,-7.5,225.5,17341,[],401584735
47,2023-10-30,GSW,NOP,NOP,-2.5,220.5,17286,[],401584736
48,2023-10-30,DET,OKC,OKC,-6.5,225.5,16127,[],401584737
49,2023-10-30,UTA,DEN,DEN,-9.5,226.5,19671,[],401584738
50,2023-10-30,ORL,LAL,LAL,-3.5,220.5,18997,[],401584739
51,2023-10-31,NYK,CLE,NYK,-1.5,213.5,19432,[],401584740
52,2023-10-31,SAS,PHX,PHX,-7.5,225.5,17071,[],401584741
53,2023-10-31,ORL,LAC,LAC,-6.5,220.5,14014,[],401584742
54,2023-11-1,POR,DET,DET,-3.5,216.5,16912,[],401584743
55,2023-11-1,MIL,TOR,MIL,-4.5,223.5,19800,[],401584744
56,2023-11-1,WAS,ATL,ATL,-10.5,240.5,15925,[],401584745
57,2023-11-1,IND,BOS,BOS,-12.5,233.5,19156,[],401584746
58,2023-11-1,BKN,MIA,MIA,-6.5,223.5,19600,[],401584747
59,2023-11-1,CLE,NYK,NYK,-5.5,210.5,19812,[],401584748
60,2023-11-1,NOP,OKC,OKC,-3.5,228.5,15764,[],401584749
61,2023-11-1,CHA,HOU,HOU,-3.5,222.5,16263,[],401584750
62,2023-11-1,DEN,MIN,DEN,-2.5,220.5,18024,[],401584751
63,2023-11-1,CHI,DAL,DAL,-2.5,219.5,20103,[],401584752
64,2023-11-1,MEM,UTA,UTA,-2.5,225.5,18206,[],401584753
65,2023-11-1,SAC,GSW,GSW,-7.5,227.5,18064,[],401584754
66,2023-11-1,LAC,LAL,LAL,-3.5,227.5,18997,[],401584755
67,2023-11-2,TOR,PHI,PHI,-7.5,214.5,19773,[],401584756
68,2023-11-2,DET,NOP,NOP,-4.5,215.5,15884,[],401584757
69,2023-11-2,ORL,UTA,ORL,-1.5,223.5,18206,[],401584758
70,2023-11-2,SAS,PHX,PHX,-10.5,229.5,17071,[],401584759
71,2023-11-4,PHX,PHI,PHI,-5.5,220.5,19796,[],401584760
72,2023-11-4,CHA,IND,IND,-5.5,241.5,15945,[],401584761
73,2023-11-4,LAL,ORL,LAL,-3.5,222.5,18846,[],401584762
74,2023-11-4,ATL,NOP,NOP,-1.5,237.5,17237,[],401584763
75,2023-11-4,BOS,BKN,BOS,-9.5,226.5,17983,[],401584764
76,2023-11-4,SAC,HOU,SAC,-2.5,221.5,18055,[],401584765
77,2023-11-4,UTA,MIN,MIN,-7.5,224.5,18024,[],401584766
78,2023-11-4,CHI,DEN,DEN,-9.5,217.5,19610,[],401584767
79,2023-11-5,PHX,DET,PHX,-3.5,219.5,20062,[],401584768
80,2023-11-5,TOR,SAS,TOR,-4.5,222.5,18354,[],401584769
81,2023-11-5,GSW,CLE,CLE,-0.5,222.5,19432,[],401584770
82,2023-11-5,CHA,DAL,DAL,-11.5,234.5,20052,[],401584771
83,2023-11-5,MEM,POR,MEM,-3.5,219.5,18187,[],401584772
84,2023-11-6,GSW,DET,GSW,-8.5,224.5,20062,[],401584773
85,2023-11-6,SAS,IND,IND,-8.5,238.5,15129,[],401584774
86,2023-11-6,DAL,ORL,ORL,-1.5,229.5,19409,[],401584775
87,2023-11-6,WAS,PHI,PHI,-11.5,229.5,19765,[],401584776
88,2023-11-6,MIL,BKN,MIL,-4.5,232.5,17935,[],401584777
89,2023-11-6,LAL,MIA,MIA,-1.5,222.5,19725,[],401584778
90,2023-11-6,LAC,NYK,NYK,-1.5,223.5,19812,[],401584779
91,2023-11-6,UTA,CHI,CHI,-3.5,223.5,18031,[],401584780
92,2023-11-6,SAC,HOU,SAC,-2.5,218.5,15130,[],401584781
93,2023-11-6,BOS,MIN,BOS,-3.5,221.5,18024,[],401584782
94,2023-11-6,ATL,OKC,OKC,-0.5,242.5,16486,[],401584783
95,2023-11-6,NOP,DEN,DEN,-5.5,222.5,19544,[],401584784
96,2023-11-8,WAS,CHA,CHA,-2.5,239.5,14267,[],401584785
97,2023-11-8,UTA,IND,IND,-5.5,242.5,14509,[],401584786
98,2023-11-8,BOS,PHI,BOS,-2.5,229.5,19953,[],401584787
99,2023-11-8,LAC,BKN,LAC,-5.5,231.5,17933,[],401584788
100,2023-11-8,SAS,NYK,NYK,-9.5,223.5,19812,[],401584789
101,2023-11-8,PHX,CHI,CHI,-0.5,217.5,18220,[],401584790
102,2023-11-8,LAL,HOU,LAL,-1.5,223.5,18055,[],401584791
103,2023-11-8,MIA,MEM,MIA,-1.5,216.5,16781,[],401584792
104,2023-11-8,DET,MIL,MIL,-12.5,227.5,17341,[],401584793
105,2023-11-8,NOP,MIN,MIN,-9.5,215.5,18024,[],401584794
106,2023-11-8,CLE,OKC,CLE,-2.5,227.5,16314,[],401584795
107,2023-11-8,TOR,DAL,DAL,-4.5,225.5,20063,[],401584796
108,2023-11-8,GSW,DEN,DEN,-4.5,227.5,19737,[],401584797
109,2023-11-8,POR,SAC,SAC,-8.5,221.5,17829,[],401584798
110,2023-11-9,MIL,IND,MIL,-1.5,239.5,14648,[],401584799
111,2023-11-9,ATL,ORL,ATL,-3.5,232.5,19986,[],401584800
