,DEN,PHX,GSW,LAL,DET,TOR,CLE,MIN,LAC,NOP,ATL,MIA,IND,OKC,CHA,HOU,WAS,BOS,SAS,SAC,CHI,POR,NYK,BKN,DAL,ORL,MEM,UTA,PHI,MIL
0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0
1,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0
2,9.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0
3,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,10.0
4,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0
5,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0
6,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0
7,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0
8,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0
9,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0
10,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0
11,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0
12,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
13,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
14,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
15,8.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0
16,8.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0
17,8.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0
18,8.0,10.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0
19,9.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0
20,9.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0
21,9.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0
22,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0
23,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0
24,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0
25,9.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0
26,9.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0
27,10.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0
28,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
29,10.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0
30,10.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0
31,9.0,8.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0
32,10.0,8.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
33,10.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
34,10.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
35,9.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0
36,9.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0
37,9.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0
