,Name,Team,Location,Opponent,Date,Result,Mins,Points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plusminus
0,Luka Doncic,DAL,A,ATL,01/26/2024,W,45,73,25,33,75.8,8,13,61.5,15,16,93.8,0,10,10,7,1,0,4,1,13
1,Cam Whitmore,HOU,A,CHA,01/26/2024,W,20,24,9,18,50.0,4,9,44.4,2,2,100.0,2,9,11,2,0,0,0,2,26
2,Bradley Beal,PHX,A,IND,01/26/2024,L,34,12,5,13,38.5,1,5,20.0,1,1,100.0,1,3,4,3,1,1,6,5,-4
3,Devin Booker,PHX,A,IND,01/26/2024,L,38,62,22,37,59.5,6,12,50.0,12,13,92.3,0,5,5,4,1,2,4,2,1
4,Dante Exum,DAL,A,ATL,01/26/2024,W,27,9,3,6,50.0,2,2,100.0,1,2,50.0,0,0,0,3,0,0,1,2,2
5,Bogdan Bogdanovic,ATL,H,DAL,01/26/2024,L,27,24,9,22,40.9,4,9,44.4,2,2,100.0,2,2,4,2,2,0,0,2,3
6,Nick Smith Jr.,CHA,H,HOU,01/26/2024,L,17,10,4,6,66.7,2,2,100.0,0,0,0.0,0,1,1,0,0,0,3,2,-12
7,Jalen Green,HOU,A,CHA,01/26/2024,W,28,36,12,20,60.0,1,7,14.3,11,12,91.7,0,9,9,4,2,0,3,0,15
8,Grayson Allen,PHX,A,IND,01/26/2024,L,37,11,4,5,80.0,2,3,66.7,1,1,100.0,0,3,3,1,0,1,2,5,-8
9,Fred VanVleet,HOU,A,CHA,01/26/2024,W,30,14,5,9,55.6,3,5,60.0,1,1,100.0,0,3,3,3,1,6,0,3,26
10,Nick Richards,CHA,H,HOU,01/26/2024,L,27,14,3,6,50.0,0,0,0.0,8,11,72.7,2,5,7,1,0,3,0,1,-18
11,Aaron Holiday,HOU,A,CHA,01/26/2024,W,19,10,4,6,66.7,2,4,50.0,0,0,0.0,0,1,1,6,0,0,2,2,12
12,Dejounte Murray,ATL,H,DAL,01/26/2024,L,37,22,9,18,50.0,3,7,42.9,1,2,50.0,1,4,5,7,0,0,3,3,-21
13,Jalen Johnson,ATL,H,DAL,01/26/2024,L,37,25,10,12,83.3,2,3,66.7,3,4,75.0,0,3,3,3,1,1,0,6,6
14,Amen Thompson,HOU,A,CHA,01/26/2024,W,23,13,4,6,66.7,1,1,100.0,4,6,66.7,2,4,6,8,2,0,1,2,25
15,Bennedict Mathurin,IND,H,PHX,01/26/2024,W,21,11,5,14,35.7,1,3,33.3,0,0,0.0,3,2,5,0,1,0,1,0,-2
16,Trae Young,ATL,H,DAL,01/26/2024,L,33,30,9,18,50.0,2,7,28.6,10,11,90.9,0,1,1,11,3,0,2,3,9
17,Grant Williams,DAL,A,ATL,01/26/2024,W,28,9,3,6,50.0,1,3,33.3,2,2,100.0,0,5,5,4,0,0,1,4,5
18,Pascal Siakam,IND,H,PHX,01/26/2024,W,33,31,14,22,63.6,2,3,66.7,1,3,33.3,4,3,7,4,2,0,2,1,9
19,Drew Eubanks,PHX,A,IND,01/26/2024,L,16,8,4,4,100.0,0,0,0.0,0,0,0.0,2,3,5,1,0,0,1,1,12
20,Eric Gordon,PHX,A,IND,01/26/2024,L,30,14,5,9,55.6,2,6,33.3,2,3,66.7,0,2,2,2,1,0,2,0,0
21,Miles Bridges,CHA,H,HOU,01/26/2024,L,36,21,7,11,63.6,2,4,50.0,5,5,100.0,1,6,7,3,1,0,4,1,-29
22,Myles Turner,IND,H,PHX,01/26/2024,W,18,5,2,6,33.3,0,2,0.0,1,1,100.0,0,3,3,2,0,0,2,2,-2
23,Ish Smith,CHA,H,HOU,01/26/2024,L,20,0,0,3,0.0,0,0,0.0,0,0,0.0,0,5,5,2,0,0,1,3,-24
24,Obi Toppin,IND,H,PHX,01/26/2024,W,33,23,10,15,66.7,0,2,0.0,3,5,60.0,6,5,11,3,1,1,1,2,7
25,James Bouknight,CHA,H,HOU,01/26/2024,L,7,5,2,6,33.3,1,4,25.0,0,0,0.0,0,0,0,0,0,0,0,0,3
26,JT Thor,CHA,H,HOU,01/26/2024,L,7,2,0,2,0.0,0,0,0.0,2,2,100.0,0,1,1,1,2,0,0,0,3
27,Patty Mills,ATL,H,DAL,01/26/2024,L,5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-8
28,Jaden Hardy,DAL,A,ATL,01/26/2024,W,14,8,2,6,33.3,1,3,33.3,3,4,75.0,1,0,1,1,1,0,0,1,-10
29,Nathan Mensah,CHA,H,HOU,01/26/2024,L,7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,1,0,2,3
30,Jermaine Samuels Jr.,HOU,A,CHA,01/26/2024,W,6,0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,-5
31,Brandon Miller,CHA,H,HOU,01/26/2024,L,20,5,2,8,25.0,1,3,33.3,0,0,0.0,0,1,1,2,0,0,0,4,-25
32,Frank Ntilikina,CHA,H,HOU,01/26/2024,L,9,5,1,2,50.0,1,2,50.0,2,2,100.0,0,0,0,0,0,0,0,0,-6
33,P.J. Washington,CHA,H,HOU,01/26/2024,L,29,12,4,9,44.4,0,2,0.0,4,5,80.0,0,2,2,2,0,3,2,1,-23
34,Ben Sheppard,IND,H,PHX,01/26/2024,W,18,2,1,4,25.0,0,3,0.0,0,0,0.0,0,2,2,2,0,0,1,2,-1
35,Jae'Sean Tate,HOU,A,CHA,01/26/2024,W,11,2,1,3,33.3,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,13
36,Aaron Nesmith,IND,H,PHX,01/26/2024,W,34,22,8,13,61.5,3,6,50.0,3,4,75.0,1,6,7,3,0,2,1,4,7
37,Onyeka Okongwu,ATL,H,DAL,01/26/2024,L,23,8,2,5,40.0,0,0,0.0,4,4,100.0,2,4,6,2,1,0,1,4,2
38,Chimezie Metu,PHX,A,IND,01/26/2024,L,2,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-5
39,Garrison Mathews,ATL,H,DAL,01/26/2024,L,14,8,2,2,100.0,2,2,100.0,2,2,100.0,1,1,2,0,0,0,0,1,5
40,Saddiq Bey,ATL,H,DAL,01/26/2024,L,38,16,6,13,46.2,2,6,33.3,2,2,100.0,3,4,7,5,0,0,0,3,-14
41,Clint Capela,ATL,H,DAL,01/26/2024,L,25,10,4,7,57.1,0,0,0.0,2,3,66.7,3,5,8,2,0,1,1,2,-7
42,Buddy Hield,IND,H,PHX,01/26/2024,W,14,2,1,3,33.3,0,2,0.0,0,0,0.0,1,1,2,4,0,0,1,2,-5
43,Andrew Nembhard,IND,H,PHX,01/26/2024,W,30,22,10,16,62.5,1,2,50.0,1,1,100.0,1,0,1,8,1,0,1,1,7
44,Dereck Lively II,DAL,A,ATL,01/26/2024,W,28,9,4,7,57.1,0,0,0.0,1,2,50.0,2,9,11,4,1,4,1,5,16
45,Reggie Bullock Jr.,HOU,A,CHA,01/26/2024,W,8,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,0,1,0,1,0,0
46,Dillon Brooks,HOU,A,CHA,01/26/2024,W,25,12,3,7,42.9,1,3,33.3,5,6,83.3,0,0,0,1,0,1,0,3,20
47,Josh Green,DAL,A,ATL,01/26/2024,W,35,21,8,12,66.7,4,5,80.0,1,2,50.0,1,1,2,4,0,0,3,5,9
48,Keita Bates-Diop,PHX,A,IND,01/26/2024,L,9,2,1,1,100.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,1,0,7
49,Cody Martin,CHA,H,HOU,01/26/2024,L,19,6,3,8,37.5,0,1,0.0,0,1,0.0,0,1,1,0,0,0,0,2,-14
50,Jalen Smith,IND,H,PHX,01/26/2024,W,20,13,6,11,54.5,1,3,33.3,0,1,0.0,5,5,10,0,1,1,2,2,-5
51,Tim Hardaway Jr.,DAL,A,ATL,01/26/2024,W,32,13,3,12,25.0,3,9,33.3,4,4,100.0,1,3,4,3,0,0,2,2,-5
52,Leaky Black,CHA,H,HOU,01/26/2024,L,13,1,0,3,0.0,0,1,0.0,1,2,50.0,2,2,4,0,0,0,0,4,-6
53,Jusuf Nurkic,PHX,A,IND,01/26/2024,L,20,2,1,3,33.3,0,0,0.0,0,0,0.0,0,4,4,5,3,0,2,2,-3
54,Josh Okogie,PHX,A,IND,01/26/2024,L,13,0,0,1,0.0,0,0,0.0,0,0,0.0,2,1,3,1,1,0,0,1,-1
55,LaMelo Ball,CHA,H,HOU,01/26/2024,L,23,15,6,16,37.5,2,9,22.2,1,2,50.0,0,2,2,8,2,0,3,4,-25
56,Richaun Holmes,DAL,A,ATL,01/26/2024,W,14,4,2,2,100.0,0,0,0.0,0,0,0.0,1,2,3,1,0,1,0,2,-3
57,Jock Landale,HOU,A,CHA,01/26/2024,W,15,6,3,5,60.0,0,0,0.0,0,0,0.0,4,2,6,2,1,1,0,2,16
58,Boban Marjanovic,HOU,A,CHA,01/26/2024,W,7,3,1,1,100.0,0,0,0.0,1,2,50.0,0,3,3,0,0,0,1,0,-3
59,Kevin Durant,PHX,A,IND,01/26/2024,L,39,20,9,16,56.3,2,4,50.0,0,0,0.0,1,6,7,6,1,1,1,1,-9
60,Alperen Sengun,HOU,A,CHA,01/26/2024,W,25,11,5,7,71.4,0,0,0.0,1,2,50.0,2,4,6,7,0,1,2,2,18
61,Derrick Jones Jr.,DAL,A,ATL,01/26/2024,W,18,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,3,-2
62,Jeff Green,HOU,A,CHA,01/26/2024,W,17,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,10
63,Bryce McGowens,CHA,H,HOU,01/26/2024,L,7,8,3,5,60.0,0,1,0.0,2,2,100.0,0,1,1,0,0,0,0,1,3
