,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,Kyle Lowry PHI,PHI,H,04/14/2024,W,23,110.2,75.5,34.7,38.1,4.00,66.7,0.0,15.4,7.5,16.7,0.0,0.0,6.9,101.38,9.5,
1,Mitchell Robinson NYK,NYK,H,04/14/2024,W,7,78.6,135.7,-57.1,0.0,0.00,0.0,0.0,33.3,7.7,0.0,0.0,0.0,0.0,90.40,3.9,
2,Bismack Biyombo OKC,OKC,H,04/14/2024,W,18,104.9,92.9,12.0,0.0,0.00,0.0,6.3,17.9,13.6,0.0,50.0,52.1,14.3,109.85,8.6,
3,Jamaree Bouyea SAS,SAS,H,04/14/2024,W,23,126.7,97.8,28.8,10.0,2.00,28.6,5.6,25.9,17.8,14.3,62.5,62.5,10.0,97.21,7.3,
4,MarJon Beauchamp MIL,MIL,H,04/14/2024,L,7,100.0,107.1,-7.1,0.0,0.00,0.0,0.0,25.0,11.1,0.0,70.0,70.0,33.3,97.34,17.4,
5,Noah Clowney BKN,BKN,H,04/14/2024,L,41,87.5,110.1,-22.6,8.3,2.00,13.3,2.2,6.4,4.3,6.7,60.0,65.6,14.1,103.27,7.6,
6,Gui Santos GSW,GSW,H,04/14/2024,W,24,135.4,95.9,39.5,11.1,0.00,15.4,7.1,12.5,9.6,0.0,55.0,59.7,18.0,96.93,11.9,
7,Tyrese Haliburton IND,IND,H,04/14/2024,W,25,153.4,106.9,46.6,39.4,6.50,50.0,0.0,7.4,4.3,7.7,50.0,53.0,20.3,109.53,13.4,
8,Ousmane Dieng OKC,OKC,H,04/14/2024,W,18,104.9,92.9,12.0,36.4,4.00,23.5,0.0,3.6,2.3,5.9,54.2,54.2,31.0,109.85,16.0,
9,Franz Wagner ORL,ORL,H,04/14/2024,W,33,126.6,84.8,41.7,14.3,0.00,11.5,3.2,12.1,7.8,0.0,50.0,54.9,30.7,95.56,18.7,
10,Brandin Podziemski GSW,GSW,H,04/14/2024,W,22,131.1,106.8,24.3,10.5,0.00,22.2,12.5,26.1,19.1,0.0,50.0,50.0,12.7,99.58,14.2,
11,Bryce McGowens CHA,CHA,H,04/14/2024,W,30,114.5,127.9,-13.4,18.2,0.00,20.0,3.2,6.9,5.0,0.0,50.0,57.1,23.9,99.34,9.8,
12,Kessler Edwards SAC,SAC,H,04/14/2024,W,11,91.7,83.3,8.3,11.1,1.00,33.3,0.0,6.3,3.6,33.3,0.0,0.0,7.1,101.50,0.0,
13,Anthony Edwards MIN,MIN,H,04/14/2024,L,35,102.9,131.9,-28.9,21.1,0.80,21.1,4.0,14.7,10.2,26.3,42.9,61.8,19.7,93.50,8.4,
14,Quenton Jackson IND,IND,H,04/14/2024,W,7,100.0,64.3,35.7,33.3,0.00,66.7,0.0,12.5,7.1,0.0,0.0,0.0,6.7,102.35,8.7,
15,Paolo Banchero ORL,ORL,H,04/14/2024,W,35,122.1,98.5,23.5,30.4,2.33,21.2,0.0,30.6,15.3,9.1,47.4,56.6,32.1,93.12,21.8,
16,Duop Reath POR,POR,H,04/14/2024,L,24,77.4,129.6,-52.3,0.0,0.00,0.0,2.9,21.7,10.5,7.1,50.0,54.3,22.2,106.34,12.9,
