,Date,Team,Name
0,01/14/2023,POR,Greg Brown III
1,01/14/2023,POR,Jusuf Nurkic
2,01/14/2023,POR,Jabari Walker
3,01/14/2023,POR,Keon Johnson
4,01/14/2023,POR,Trendon Watford
5,01/14/2023,POR,Anfernee Simons
6,01/14/2023,POR,Damian Lillard
7,01/14/2023,POR,Josh Hart
8,01/14/2023,POR,Drew Eubanks
9,01/14/2023,POR,Jerami Grant
10,01/14/2023,POR,Shaedon Sharpe
11,01/14/2023,POR,Gary Payton II
13,01/14/2023,POR,Nassir Little
15,01/14/2023,POR,Justise Winslow
16,01/14/2023,CLE,Ricky Rubio
17,01/14/2023,CLE,Cedi Osman
18,01/14/2023,CLE,Lamar Stevens
19,01/14/2023,CLE,Caris LeVert
20,01/14/2023,CLE,Darius Garland
21,01/14/2023,CLE,Isaac Okoro
22,01/14/2023,CLE,Kevin Love
23,01/14/2023,CLE,Jarrett Allen
24,01/14/2023,CLE,Evan Mobley
25,01/14/2023,CLE,Donovan Mitchell
26,01/14/2023,CLE,Robin Lopez
27,01/14/2023,CLE,Raul Neto
28,01/14/2023,CLE,Mamadi Diakite
30,01/14/2023,CLE,Isaiah Mobley
31,01/14/2023,CLE,Dean Wade
32,01/14/2023,CLE,Dylan Windler
33,01/14/2023,TOR,Juancho Hernangomez
34,01/14/2023,TOR,Chris Boucher
35,01/14/2023,TOR,Christian Koloko
36,01/14/2023,TOR,O.G. Anunoby
37,01/14/2023,TOR,Malachi Flynn
38,01/14/2023,TOR,Precious Achiuwa
39,01/14/2023,TOR,Scottie Barnes
40,01/14/2023,TOR,Fred VanVleet
41,01/14/2023,TOR,Pascal Siakam
42,01/14/2023,TOR,Gary Trent Jr.
43,01/14/2023,TOR,Khem Birch
44,01/14/2023,TOR,Joe Wieskamp
45,01/14/2023,TOR,Thaddeus Young
46,01/14/2023,TOR,Dalano Banton
47,01/14/2023,TOR,Jeff Dowtin Jr.
48,01/14/2023,TOR,Ron Harper Jr.
49,01/14/2023,TOR,Otto Porter Jr.
50,01/14/2023,ATL,Frank Kaminsky
51,01/14/2023,ATL,Aaron Holiday
52,01/14/2023,ATL,Jalen Johnson
53,01/14/2023,ATL,Dejounte Murray
54,01/14/2023,ATL,John Collins
55,01/14/2023,ATL,Trae Young
56,01/14/2023,ATL,De'Andre Hunter
57,01/14/2023,ATL,AJ Griffin
58,01/14/2023,ATL,Onyeka Okongwu
59,01/14/2023,ATL,Derrick Favors
60,01/14/2023,ATL,Trent Forrest
61,01/14/2023,ATL,Justin Holiday
62,01/14/2023,ATL,Vit Krejci
63,01/14/2023,ATL,Bogdan Bogdanovic
65,01/14/2023,ATL,Clint Capela
66,01/14/2023,ATL,Jarrett Culver
67,01/14/2023,ATL,Tyrese Martin
68,01/14/2023,CHA,Kai Jones
69,01/14/2023,CHA,Mark Williams
70,01/14/2023,CHA,Bryce McGowens
71,01/14/2023,CHA,Dennis Smith Jr.
72,01/14/2023,CHA,JT Thor
73,01/14/2023,CHA,LaMelo Ball
74,01/14/2023,CHA,Cody Martin
75,01/14/2023,CHA,Nick Richards
76,01/14/2023,CHA,Jalen McDaniels
77,01/14/2023,CHA,P.J. Washington
78,01/14/2023,CHA,Terry Rozier
79,01/14/2023,CHA,Mason Plumlee
80,01/14/2023,CHA,James Bouknight
81,01/14/2023,CHA,Gordon Hayward
82,01/14/2023,CHA,Kelly Oubre Jr.
83,01/14/2023,DAL,Dwight Powell
84,01/14/2023,DAL,Spencer Dinwiddie
85,01/14/2023,DAL,A.J. Lawson
86,01/14/2023,DAL,Reggie Bullock
87,01/14/2023,DAL,McKinley Wright IV
88,01/14/2023,DAL,Luka Doncic
89,01/14/2023,DAL,Davis Bertans
90,01/14/2023,DAL,Frank Ntilikina
