,Date,Home,Away,Favorite,Spread,Attendance,Capacity
0,10/18/2022,BOS,PHI,BOS,-3.0,19156,19156
1,10/18/2022,GSW,LAL,GSW,-7.5,18064,18064
2,10/19/2022,DET,ORL,DET,-2.5,20190,20332
3,10/19/2022,IND,WAS,WAS,-1.0,15027,17923
4,10/19/2022,ATL,HOU,ATL,-10.0,17878,16888
5,10/19/2022,BKN,NOP,BKN,-2.5,18003,17732
6,10/19/2022,MIA,CHI,MIA,-7.5,19600,19600
7,10/19/2022,TOR,CLE,TOR,-2.5,19800,19800
8,10/19/2022,MEM,NYK,MEM,-4.0,18202,18400
9,10/19/2022,MIN,OKC,MIN,-10.5,17136,19356
10,10/19/2022,SAS,CHA,EVEN,0.0,16236,18354
11,10/19/2022,UTA,DEN,DEN,-7.0,18206,18206
12,10/19/2022,PHX,DAL,PHX,-4.0,17071,17071
13,10/19/2022,SAC,POR,SAC,-3.0,17611,17611
14,10/20/2022,PHI,MIL,PHI,-4.0,20060,21000
15,10/20/2022,LAL,LAC,LAC,-5.0,18997,19068
16,10/21/2022,CHA,NOP,NOP,-6.5,19287,19077
17,10/21/2022,IND,SAS,IND,-1.0,12073,17923
18,10/21/2022,WAS,CHI,WAS,-2.0,20476,20600
19,10/21/2022,ATL,ORL,ATL,-9.0,17822,16888
20,10/21/2022,BKN,TOR,BKN,-2.5,17732,17732
21,10/21/2022,MIA,BOS,BOS,-2.0,19600,19600
22,10/21/2022,NYK,DET,NYK,-7.0,19812,19763
23,10/21/2022,HOU,MEM,MEM,-7.0,18055,18055
24,10/21/2022,MIN,UTA,MIN,-8.0,17136,19356
25,10/21/2022,GSW,DEN,GSW,-5.5,18064,18064
26,10/21/2022,POR,PHX,PHX,-5.0,19393,19441
27,10/22/2022,PHI,SAS,PHI,-13.5,19822,21000
28,10/22/2022,IND,DET,DET,-1.5,16056,17923
29,10/22/2022,ORL,BOS,BOS,-8.5,19299,18500
30,10/22/2022,MIA,TOR,MIA,-3.0,19600,19600
31,10/22/2022,CHI,CLE,CLE,-2.0,21089,20917
32,10/22/2022,MIL,HOU,MIL,-13.0,17341,17341
33,10/22/2022,DAL,MEM,DAL,-5.5,20377,19200
34,10/22/2022,DEN,OKC,DEN,-9.0,19983,19520
35,10/22/2022,SAC,LAC,LAC,-2.5,16296,17611
36,10/23/2022,LAL,POR,LAL,-3.5,18997,19068
37,10/23/2022,ATL,CHA,ATL,-10.0,17383,16888
38,10/23/2022,CLE,WAS,CLE,-3.5,19432,19432
39,10/23/2022,NOP,UTA,NOP,-9.0,18665,16867
40,10/23/2022,OKC,MIN,MIN,-8.0,15044,18203
