,Date,Team,Name,Injury
0,10/18/2022,BOS,Danilo Gallinari,Injury/Illness - Left Knee; ACL Repair
1,10/18/2022,BOS,Robert Williams III,Injury/Illness - Left Knee; Surgery
2,10/18/2022,GSW,Patrick Baldwin Jr.,Injury/Illness - Right Thumb; Sprain
3,10/18/2022,GSW,Andre Iguodala,Injury/Illness - Left Hip; Injury Management
4,10/18/2022,LAL,Troy Brown Jr.,Injury/Illness - Low Back; Soreness
5,10/18/2022,LAL,Thomas Bryant,Injury/Illness - Left UCL; Repair
6,10/18/2022,LAL,Dennis Schroder,Injury/Illness - Right UCL; Repair
7,10/19/2022,DET,Marvin Bagley III,Injury/Illness - Right Knee; Sprain
8,10/19/2022,DET,Alec Burks,Injury/Illness - Left Navicular; Fracture
9,10/19/2022,DET,Isaiah Livers,Injury/Illness - Right Hip; Soreness
10,10/19/2022,ORL,Cole Anthony,Injury/Illness - N/A; Illness
11,10/19/2022,ORL,Markelle Fultz,Injury/Illness - Left Big toe; Fracture
12,10/19/2022,ORL,Gary Harris,Injury/Illness - Left Knee; Injury recovery
13,10/19/2022,ORL,Jonathan Isaac,Injury/Illness - Left Knee; Injury recovery
14,10/19/2022,ORL,Moritz Wagner,Injury/Illness - Right Midfoot; Sprain
15,10/19/2022,IND,Trevelin Queen,G League - Two-Way
16,10/19/2022,IND,Daniel Theis,Injury/Illness - Left Knee; Soreness
17,10/19/2022,IND,Myles Turner,Injury/Illness - Left Ankle; Sprain
18,10/19/2022,WAS,Vernon Carey Jr.,Injury/Illness - Head; Concussion Protocol
19,10/19/2022,WAS,Corey Kispert,Injury/Illness - Left Ankle; Left ankle sprain
20,10/19/2022,CHI,Kostas Antetokounmpo,G League - Two-Way
21,10/19/2022,CHI,Lonzo Ball,Injury/Illness - Left Knee; Surgery
22,10/19/2022,CHI,Zach LaVine,Injury/Illness - Left Knee; Injury Management
23,10/19/2022,MIA,Victor Oladipo,Injury/Illness - Left Knee; Tendinosis
24,10/19/2022,MIA,Omer Yurtseven,Injury/Illness - Left Ankle; Impingement
25,10/19/2022,CLE,Mamadi Diakite,Not With Team
26,10/19/2022,CLE,Ricky Rubio,Injury/Illness - Left Knee; ACL Surgery
27,10/19/2022,CLE,Dylan Windler,Injury/Illness - Right Ankle; Sprain
28,10/19/2022,TOR,Khem Birch,Injury/Illness - Left Knee; Swelling
29,10/19/2022,TOR,Chris Boucher,Injury/Illness - Left Hamstring; Strain
30,10/19/2022,TOR,Otto Porter Jr.,Injury/Illness - Left Hamstring; Strain
31,10/19/2022,ATL,Bogdan Bogdanovic,Injury/Illness - Right Knee; Injury Recovery
32,10/19/2022,HOU,Daishen Nix,Injury/Illness - Back; Soreness
33,10/19/2022,HOU,Jae'Sean Tate,Injury/Illness - Left Ankle; Soreness
34,10/19/2022,HOU,TyTy Washington Jr.,Injury/Illness - Left Knee; Sprain
35,10/19/2022,BKN,Seth Curry,Injury/Illness - Left Ankle; Injury Recovery
36,10/19/2022,BKN,Joe Harris,Injury/Illness - Left Foot; Soreness
37,10/19/2022,BKN,T.J. Warren,Injury/Illness - Left Foot; Injury Recovery
38,10/19/2022,NOP,Jaxson Hayes,Injury/Illness - Left Elbow; UCL Tear
