,Test Size,N Estimators,Accuracy
0,0.3,500.0,0.6409395973154363
1,0.3,510.0,0.6375838926174496
2,0.3,520.0,0.6375838926174496
3,0.3,530.0,0.6308724832214765
4,0.3,540.0,0.6308724832214765
5,0.3,550.0,0.6342281879194631
6,0.3,560.0,0.6375838926174496
7,0.3,570.0,0.6409395973154363
8,0.3,580.0,0.6375838926174496
9,0.3,590.0,0.6375838926174496
10,0.3,600.0,0.6409395973154363
11,0.3,610.0,0.6409395973154363
12,0.3,620.0,0.6442953020134228
13,0.3,630.0,0.6442953020134228
14,0.3,640.0,0.6442953020134228
15,0.3,650.0,0.6442953020134228
16,0.3,660.0,0.6442953020134228
17,0.3,670.0,0.6409395973154363
18,0.3,680.0,0.6409395973154363
19,0.3,690.0,0.6409395973154363
20,0.3,700.0,0.6409395973154363
21,0.3,710.0,0.6409395973154363
22,0.3,720.0,0.6409395973154363
23,0.3,730.0,0.6442953020134228
24,0.3,740.0,0.6442953020134228
25,0.3,750.0,0.6442953020134228
26,0.3,760.0,0.6442953020134228
27,0.3,770.0,0.6442953020134228
28,0.3,780.0,0.6442953020134228
29,0.3,790.0,0.6442953020134228
30,0.3,800.0,0.6476510067114094
31,0.3,810.0,0.6476510067114094
32,0.3,820.0,0.6442953020134228
33,0.3,830.0,0.6476510067114094
34,0.3,840.0,0.6442953020134228
35,0.3,850.0,0.6409395973154363
36,0.3,860.0,0.6442953020134228
37,0.3,870.0,0.6409395973154363
38,0.3,880.0,0.6409395973154363
39,0.3,890.0,0.6409395973154363
40,0.3,900.0,0.6409395973154363
41,0.3,910.0,0.6409395973154363
42,0.3,920.0,0.6442953020134228
43,0.3,930.0,0.6409395973154363
44,0.3,940.0,0.6442953020134228
45,0.3,950.0,0.6442953020134228
46,0.3,960.0,0.6442953020134228
47,0.3,970.0,0.6409395973154363
48,0.3,980.0,0.6442953020134228
49,0.3,990.0,0.6476510067114094
50,0.3,1000.0,0.6442953020134228
51,0.3,1010.0,0.6476510067114094
52,0.3,1020.0,0.6442953020134228
53,0.3,1030.0,0.6442953020134228
54,0.3,1040.0,0.6476510067114094
55,0.3,1050.0,0.6476510067114094
56,0.3,1060.0,0.6476510067114094
57,0.3,1070.0,0.6510067114093959
58,0.3,1080.0,0.6510067114093959
59,0.3,1090.0,0.6510067114093959
60,0.3,1100.0,0.6476510067114094
61,0.3,1110.0,0.6442953020134228
62,0.3,1120.0,0.6476510067114094
63,0.3,1130.0,0.6409395973154363
64,0.3,1140.0,0.6442953020134228
65,0.3,1150.0,0.6476510067114094
66,0.3,1160.0,0.6476510067114094
67,0.3,1170.0,0.6476510067114094
68,0.3,1180.0,0.6476510067114094
69,0.3,1190.0,0.6543624161073825
70,0.3,1200.0,0.6476510067114094
71,0.3,1210.0,0.6476510067114094
72,0.3,1220.0,0.6476510067114094
73,0.3,1230.0,0.6510067114093959
74,0.3,1240.0,0.6510067114093959
75,0.3,1250.0,0.6476510067114094
76,0.3,1260.0,0.6442953020134228
77,0.3,1270.0,0.6442953020134228
78,0.3,1280.0,0.6510067114093959
79,0.3,1290.0,0.6476510067114094
80,0.3,1300.0,0.6476510067114094
81,0.3,1310.0,0.6476510067114094
82,0.3,1320.0,0.6510067114093959
83,0.3,1330.0,0.6510067114093959
84,0.3,1340.0,0.6543624161073825
85,0.3,1350.0,0.6510067114093959
86,0.3,1360.0,0.6510067114093959
87,0.3,1370.0,0.6442953020134228
88,0.3,1380.0,0.6476510067114094
89,0.3,1390.0,0.6476510067114094
90,0.3,1400.0,0.6442953020134228
91,0.3,1410.0,0.6442953020134228
92,0.3,1420.0,0.6442953020134228
93,0.3,1430.0,0.6510067114093959
94,0.3,1440.0,0.6476510067114094
95,0.3,1450.0,0.6442953020134228
96,0.3,1460.0,0.6442953020134228
97,0.3,1470.0,0.6442953020134228
98,0.3,1480.0,0.6442953020134228
99,0.3,1490.0,0.6409395973154363
100,0.3,1500.0,0.6409395973154363
101,0.31,500.0,0.6461038961038961
102,0.31,510.0,0.6493506493506493
103,0.31,520.0,0.6493506493506493
104,0.31,530.0,0.6525974025974026
105,0.31,540.0,0.6525974025974026
106,0.31,550.0,0.6590909090909091
107,0.31,560.0,0.6461038961038961
108,0.31,570.0,0.6525974025974026
109,0.31,580.0,0.6525974025974026
110,0.31,590.0,0.6461038961038961
111,0.31,600.0,0.6493506493506493
112,0.31,610.0,0.6461038961038961
113,0.31,620.0,0.6461038961038961
114,0.31,630.0,0.6525974025974026
115,0.31,640.0,0.6525974025974026
116,0.31,650.0,0.6525974025974026
117,0.31,660.0,0.6525974025974026
118,0.31,670.0,0.6558441558441559
119,0.31,680.0,0.6558441558441559
120,0.31,690.0,0.6558441558441559
121,0.31,700.0,0.6525974025974026
122,0.31,710.0,0.6558441558441559
123,0.31,720.0,0.6525974025974026
124,0.31,730.0,0.6493506493506493
125,0.31,740.0,0.6525974025974026
126,0.31,750.0,0.6558441558441559
127,0.31,760.0,0.6558441558441559
128,0.31,770.0,0.6558441558441559
129,0.31,780.0,0.6558441558441559
130,0.31,790.0,0.6558441558441559
131,0.31,800.0,0.6558441558441559
132,0.31,810.0,0.6558441558441559
133,0.31,820.0,0.6558441558441559
134,0.31,830.0,0.6558441558441559
135,0.31,840.0,0.6525974025974026
136,0.31,850.0,0.6558441558441559
137,0.31,860.0,0.6525974025974026
138,0.31,870.0,0.6590909090909091
139,0.31,880.0,0.6525974025974026
140,0.31,890.0,0.6590909090909091
141,0.31,900.0,0.6590909090909091
142,0.31,910.0,0.6590909090909091
143,0.31,920.0,0.6590909090909091
144,0.31,930.0,0.6558441558441559
145,0.31,940.0,0.6525974025974026
146,0.31,950.0,0.6525974025974026
147,0.31,960.0,0.6525974025974026
148,0.31,970.0,0.6525974025974026
149,0.31,980.0,0.6525974025974026
150,0.31,990.0,0.6525974025974026
151,0.31,1000.0,0.6525974025974026
152,0.31,1010.0,0.6525974025974026
153,0.31,1020.0,0.6525974025974026
154,0.31,1030.0,0.6525974025974026
155,0.31,1040.0,0.6558441558441559
156,0.31,1050.0,0.6558441558441559
157,0.31,1060.0,0.6558441558441559
158,0.31,1070.0,0.6558441558441559
159,0.31,1080.0,0.6558441558441559
160,0.31,1090.0,0.6525974025974026
161,0.31,1100.0,0.6525974025974026
162,0.31,1110.0,0.6525974025974026
163,0.31,1120.0,0.6525974025974026
164,0.31,1130.0,0.6525974025974026
165,0.31,1140.0,0.6525974025974026
166,0.31,1150.0,0.6525974025974026
167,0.31,1160.0,0.6525974025974026
168,0.31,1170.0,0.6525974025974026
169,0.31,1180.0,0.6493506493506493
170,0.31,1190.0,0.6525974025974026
171,0.31,1200.0,0.6525974025974026
172,0.31,1210.0,0.6525974025974026
173,0.31,1220.0,0.6493506493506493
174,0.31,1230.0,0.6525974025974026
175,0.31,1240.0,0.6558441558441559
176,0.31,1250.0,0.6493506493506493
177,0.31,1260.0,0.6525974025974026
178,0.31,1270.0,0.6525974025974026
179,0.31,1280.0,0.6558441558441559
180,0.31,1290.0,0.6558441558441559
181,0.31,1300.0,0.6525974025974026
182,0.31,1310.0,0.6558441558441559
183,0.31,1320.0,0.6558441558441559
184,0.31,1330.0,0.6558441558441559
185,0.31,1340.0,0.6558441558441559
186,0.31,1350.0,0.6525974025974026
187,0.31,1360.0,0.6525974025974026
188,0.31,1370.0,0.6525974025974026
189,0.31,1380.0,0.6525974025974026
190,0.31,1390.0,0.6525974025974026
191,0.31,1400.0,0.6525974025974026
192,0.31,1410.0,0.6525974025974026
193,0.31,1420.0,0.6525974025974026
